,Sequence Name,Tag identificator,timestamp,date,x,y,z,activity
0,A01,010-000-024-033,6.3379022605128e+17,27.05.2009 14:03:25:127,4.06293106079102,1.89243423938751,0.507425427436829,walking
1,A01,020-000-033-111,6.33790226051821e+17,27.05.2009 14:03:25:183,4.29195356369019,1.7811404466629,1.34449529647827,walking
2,A01,020-000-032-221,6.33790226052091e+17,27.05.2009 14:03:25:210,4.35910129547119,1.82645571231842,0.968820989131928,walking
3,A01,010-000-024-033,6.33790226052362e+17,27.05.2009 14:03:25:237,4.08783531188965,1.87999868392944,0.466983407735825,walking
4,A01,010-000-030-096,6.33790226052632e+17,27.05.2009 14:03:25:263,4.32446241378784,2.07245969772339,0.488064646720886,walking
5,A01,020-000-033-111,6.33790226052902e+17,27.05.2009 14:03:25:290,4.36407709121704,1.76769149303436,1.2999963760376,walking
6,A01,020-000-032-221,6.33790226053172e+17,27.05.2009 14:03:25:317,4.37390804290772,1.88795959949493,0.769018948078156,walking
7,A01,010-000-024-033,6.33790226053443e+17,27.05.2009 14:03:25:343,3.95849609375,1.70356285572052,0.511041402816772,walking
8,A01,020-000-033-111,6.33790226053983e+17,27.05.2009 14:03:25:397,4.24491357803345,1.98168194293976,1.30875885486603,walking
9,A01,010-000-024-033,6.33790226054524e+17,27.05.2009 14:03:25:453,4.01699066162109,1.73406493663788,0.193166807293892,walking
10,A01,010-000-030-096,6.33790226054794e+17,27.05.2009 14:03:25:480,4.35824918746948,2.03383588790894,0.502825260162354,walking
11,A01,020-000-033-111,6.33790226055065e+17,27.05.2009 14:03:25:507,4.12630939483643,2.16554093360901,1.37884378433228,walking
12,A01,020-000-032-221,6.33790226055335e+17,27.05.2009 14:03:25:533,4.41847038269043,1.83986020088196,0.972940742969513,walking
13,A01,010-000-024-033,6.33790226055605e+17,27.05.2009 14:03:25:560,3.74837470054626,2.0734224319458,0.254481703042984,walking
14,A01,020-000-032-221,6.33790226056416e+17,27.05.2009 14:03:25:640,4.36312580108643,1.93686878681183,0.939827740192413,walking
15,A01,010-000-024-033,6.33790226056686e+17,27.05.2009 14:03:25:670,3.82089400291443,2.04937791824341,0.05537686496973,walking
16,A01,010-000-030-096,6.33790226056956e+17,27.05.2009 14:03:25:697,4.35547733306885,1.99015069007874,0.501697838306427,walking
17,A01,020-000-033-111,6.33790226057227e+17,27.05.2009 14:03:25:723,4.2925009727478,2.07385325431824,1.36650812625885,walking
18,A01,020-000-032-221,6.33790226057497e+17,27.05.2009 14:03:25:750,4.44374513626099,1.88284301757813,0.980791985988617,walking
19,A01,010-000-024-033,6.33790226057767e+17,27.05.2009 14:03:25:777,4.03950643539429,1.90846538543701,0.453817009925842,walking
20,A01,020-000-032-221,6.33790226058578e+17,27.05.2009 14:03:25:857,4.44277191162109,1.92148947715759,0.972291707992554,walking
21,A01,010-000-024-033,6.33790226058849e+17,27.05.2009 14:03:25:883,4.03004932403564,1.92463433742523,0.490845888853073,walking
22,A01,010-000-030-096,6.33790226059119e+17,27.05.2009 14:03:25:913,4.43934965133667,1.77909481525421,0.581532657146454,walking
23,A01,020-000-033-111,6.33790226059389e+17,27.05.2009 14:03:25:940,4.4010648727417,1.95873010158539,1.39270281791687,walking
24,A01,010-000-024-033,6.3379022605993e+17,27.05.2009 14:03:25:993,4.03309726715088,1.90774607658386,0.449980527162552,walking
25,A01,020-000-033-111,6.3379022606047e+17,27.05.2009 14:03:26:047,4.25781297683716,2.11881637573242,1.42175984382629,walking
26,A01,020-000-032-221,6.33790226060741e+17,27.05.2009 14:03:26:073,4.3217568397522,2.01616597175598,0.954243063926697,walking
27,A01,010-000-024-033,6.33790226061011e+17,27.05.2009 14:03:26:100,3.81520819664001,1.98811626434326,0.227397888898849,walking
28,A01,010-000-030-096,6.33790226061281e+17,27.05.2009 14:03:26:127,4.30866813659668,2.04155898094177,0.556878507137299,walking
29,A01,020-000-033-111,6.33790226061551e+17,27.05.2009 14:03:26:157,4.17521905899048,2.16235184669495,1.35212993621826,walking
30,A01,010-000-024-033,6.33790226062092e+17,27.05.2009 14:03:26:210,4.02553844451904,1.91919565200806,0.537732839584351,walking
