,Sequence Name,Tag identificator,timestamp,date,x,y,z,activity
27473,B01,020-000-032-221,6.33790199775243e+17,27.05.2009 13:19:37:523,1.52396023273468,1.38504338264465,0.971983730792999,walking
27474,B01,010-000-024-033,6.33790199775513e+17,27.05.2009 13:19:37:550,1.48909318447113,1.84487664699554,0.136721193790436,walking
27475,B01,010-000-030-096,6.33790199775783e+17,27.05.2009 13:19:37:580,1.63593137264252,1.36767852306366,-0.057034846395254,walking
27476,B01,020-000-033-111,6.33790199776054e+17,27.05.2009 13:19:37:607,1.365607380867,1.31445908546448,1.31382668018341,walking
27477,B01,020-000-032-221,6.33790199776324e+17,27.05.2009 13:19:37:633,1.50787842273712,1.39377534389496,0.902425825595856,walking
27478,B01,010-000-024-033,6.33790199776594e+17,27.05.2009 13:19:37:660,1.48230004310608,1.84480750560761,0.094057023525238,walking
27479,B01,020-000-033-111,6.33790199777135e+17,27.05.2009 13:19:37:713,1.50490832328796,1.5800302028656,1.21166932582855,walking
27480,B01,020-000-032-221,6.33790199777405e+17,27.05.2009 13:19:37:740,1.54328596591949,1.42000818252563,0.959813177585602,walking
27481,B01,010-000-024-033,6.33790199777675e+17,27.05.2009 13:19:37:767,1.49835216999054,1.84910476207733,0.087969951331616,walking
27482,B01,010-000-030-096,6.33790199777946e+17,27.05.2009 13:19:37:793,1.60633909702301,1.48982322216034,0.175885871052742,walking
27483,B01,020-000-033-111,6.33790199778216e+17,27.05.2009 13:19:37:820,1.38583993911743,1.29210805892944,1.30549156665802,walking
27484,B01,020-000-032-221,6.33790199778486e+17,27.05.2009 13:19:37:850,1.54922425746918,1.43500769138336,0.812651574611664,walking
27485,B01,010-000-024-033,6.33790199778757e+17,27.05.2009 13:19:37:877,1.48538553714752,1.84374713897705,0.107223704457283,walking
27486,B01,020-000-033-111,6.33790199779297e+17,27.05.2009 13:19:37:930,1.34923076629639,1.27430403232574,1.26219546794891,walking
27487,B01,020-000-032-221,6.33790199779568e+17,27.05.2009 13:19:37:957,1.59301590919495,1.55030393600464,0.763470590114594,walking
27488,B01,010-000-024-033,6.33790199779838e+17,27.05.2009 13:19:37:983,1.53708696365356,1.8379442691803,0.29653200507164,walking
27489,B01,010-000-030-096,6.33790199780108e+17,27.05.2009 13:19:38:010,1.70325231552124,1.31014215946198,-0.178873673081398,walking
27490,B01,020-000-033-111,6.33790199780378e+17,27.05.2009 13:19:38:037,1.38235175609589,1.3370064496994,1.33310759067535,walking
27491,B01,020-000-032-221,6.33790199780649e+17,27.05.2009 13:19:38:063,1.69663429260254,1.66715562343597,0.953131973743439,walking
27492,B01,010-000-024-033,6.33790199780919e+17,27.05.2009 13:19:38:093,1.47910892963409,1.81625056266785,0.141907766461372,walking
27493,B01,020-000-033-111,6.3379019978146e+17,27.05.2009 13:19:38:147,1.35359036922455,1.28178155422211,1.25073647499084,walking
27494,B01,020-000-032-221,6.3379019978173e+17,27.05.2009 13:19:38:173,1.66727066040039,1.635009765625,0.925127565860748,walking
27495,B01,010-000-024-033,6.33790199782e+17,27.05.2009 13:19:38:200,1.46744894981384,1.81539273262024,0.082771740853787,walking
27496,B01,010-000-030-096,6.33790199782271e+17,27.05.2009 13:19:38:227,1.75185883045197,1.1724956035614,-0.194383978843689,walking
27497,B01,020-000-033-111,6.33790199782541e+17,27.05.2009 13:19:38:253,1.34717869758606,1.29999768733978,1.2695517539978,walking
27498,B01,020-000-032-221,6.33790199782811e+17,27.05.2009 13:19:38:280,1.64947891235352,1.62455439567566,0.843926072120667,walking
27499,B01,010-000-024-033,6.33790199783081e+17,27.05.2009 13:19:38:307,1.48289287090302,1.83289551734924,0.088234126567841,walking
27500,B01,020-000-033-111,6.33790199783622e+17,27.05.2009 13:19:38:363,1.3756982088089,1.32397878170013,1.31272411346436,walking
