wconfid,pctid,x,y,z
3,20,0.996,0.098,-0.113
3,20,0.98,-0.098,-0.105
3,20,0.977,-0.012,-0.16
3,20,1,0.094,-0.098
3,20,0.984,-0.07,-0.113
3,20,0.977,-0.027,-0.152
3,20,0.996,-0.078,-0.105
3,20,0.973,0.043,-0.117
3,20,0.977,-0.023,-0.152
3,20,0.992,-0.078,-0.105
3,20,1.023,0.109,-0.109
3,20,0.965,0.004,-0.129
3,20,1.023,-0.063,-0.125
3,20,0.984,-0.09,-0.109
3,20,0.977,-0.043,-0.148
3,20,0.996,-0.023,-0.117
3,20,1.023,0.094,-0.109
3,20,0.988,-0.051,-0.156
3,20,0.992,-0.066,-0.121
3,20,1.016,0.07,-0.113
3,20,0.984,-0.055,-0.156
3,20,0.992,-0.082,-0.117
3,20,0.965,0.063,-0.129
3,20,0.984,0.105,-0.152
3,20,1.023,0.113,-0.098
3,20,0.977,0,-0.156
3,20,0.984,-0.027,-0.125
3,20,0.984,-0.105,-0.117
3,20,0.98,-0.008,-0.145
3,20,0.988,0.133,-0.098
3,20,0.988,-0.051,-0.109
3,20,0.977,-0.008,-0.145
3,20,0.996,-0.07,-0.098
3,20,1.02,0.105,-0.102
3,20,0.984,-0.012,-0.148
3,20,0.996,-0.063,-0.102
3,20,1.02,0.109,-0.098
3,20,0.996,-0.023,-0.125
3,20,1,-0.059,-0.121
3,20,1.023,0.105,-0.113
3,20,0.973,-0.027,-0.152
3,20,1.016,-0.035,-0.113
3,20,1.023,0.098,-0.109
3,20,0.98,-0.035,-0.156
3,20,0.984,-0.07,-0.133
3,20,1.027,0.063,-0.117
3,20,0.98,-0.027,-0.145
3,20,0.988,-0.074,-0.125
3,20,1.012,0.09,-0.113
3,20,0.988,0.086,-0.145
3,20,1.031,0.113,-0.098
3,20,0.984,0.055,-0.141
3,20,1,-0.031,-0.117
3,20,0.961,-0.117,-0.125
3,20,0.98,0.043,-0.137
3,20,0.988,-0.055,-0.133
3,20,0.957,-0.035,-0.121
3,20,0.992,0.031,-0.141
3,20,1.031,-0.059,-0.133
3,20,0.965,-0.129,-0.125
3,20,0.992,0.023,-0.148
3,20,1.039,-0.051,-0.133
3,20,0.961,-0.148,-0.129
3,20,0.996,0.02,-0.117
3,20,1.023,0.082,-0.125
3,20,0.992,0.098,-0.133
3,20,1.008,-0.016,-0.125
3,20,0.973,0.016,-0.105
3,20,0.98,0.004,-0.113
3,20,1.027,0.07,-0.09
3,20,1.012,0.145,-0.121
3,20,1.004,0.02,-0.113
3,20,1.004,0.145,-0.152
3,20,1.027,0.09,-0.109
3,20,0.973,-0.082,-0.148
3,20,0.973,-0.047,-0.117
3,20,1.027,0.074,-0.109
3,20,0.953,-0.094,-0.152
3,20,0.988,-0.027,-0.109
3,20,1.016,0.066,-0.113
3,20,0.965,-0.09,-0.148
3,20,0.984,-0.074,-0.113
3,20,1.004,0.043,-0.113
3,20,0.957,-0.086,-0.148
3,20,0.969,-0.074,-0.121
3,20,1.016,0.066,-0.121
3,20,0.992,-0.082,-0.148
3,20,0.973,-0.07,-0.121
3,20,1.027,0.07,-0.121
3,20,1,0,-0.121
3,20,1.031,0.094,-0.109
3,20,0.965,-0.043,-0.152
3,20,0.996,0.145,-0.105
3,20,0.988,-0.047,-0.109
3,20,0.969,-0.043,-0.152
3,20,0.977,0.152,-0.109
3,20,0.984,-0.066,-0.117
3,20,0.969,-0.035,-0.145
3,20,0.98,0.156,-0.109
3,20,0.98,-0.086,-0.113
3,20,0.969,0.008,-0.129
3,20,1.035,-0.07,-0.129
3,20,0.984,-0.086,-0.105
3,20,0.965,-0.059,-0.145
3,20,0.984,-0.043,-0.109
3,20,1.031,0.094,-0.102
3,20,0.961,-0.066,-0.156
3,20,0.992,-0.031,-0.129
3,20,1.012,0.082,-0.109
3,20,0.969,-0.063,-0.156
3,20,0.98,-0.078,-0.125
3,20,1.02,0.043,-0.109
3,20,0.996,-0.063,-0.145
3,20,0.973,-0.082,-0.125
3,20,1.016,0.074,-0.113
3,20,1,-0.059,-0.137
3,20,0.984,-0.078,-0.129
3,20,1.035,0.098,-0.117
3,20,1.008,0.047,-0.137
3,20,1.035,0.105,-0.102
3,20,0.977,-0.008,-0.148
3,20,0.984,0.121,-0.102
3,20,0.984,-0.07,-0.105
3,20,0.977,-0.012,-0.148
3,20,0.988,0.141,-0.105
3,20,0.977,-0.004,-0.129
3,20,0.977,-0.008,-0.145
3,20,0.988,-0.074,-0.102
3,20,1.043,0.121,-0.105
3,20,0.973,-0.008,-0.137
3,20,0.984,-0.07,-0.105
3,20,1.047,0.117,-0.098
3,20,0.992,-0.016,-0.141
3,20,0.984,-0.055,-0.125
3,20,1.039,0.113,-0.105
3,20,0.969,-0.02,-0.148
3,20,1.012,-0.016,-0.121
3,20,1.02,0.102,-0.105
3,20,0.992,-0.039,-0.148
3,20,0.984,-0.063,-0.141
3,20,1.027,0.086,-0.113
3,20,0.988,-0.039,-0.141
3,20,0.98,-0.082,-0.125
3,20,0.996,0.031,-0.102
3,20,1,0.109,-0.148
3,20,1.043,0.129,-0.098
3,20,0.984,0.016,-0.141
3,20,0.996,-0.035,-0.125
3,20,0.961,-0.121,-0.117
3,20,0.973,0.012,-0.148
3,20,0.988,-0.02,-0.125
3,20,0.969,-0.105,-0.117
3,20,0.98,0.004,-0.141
3,20,1.035,-0.07,-0.133
3,20,0.973,-0.074,-0.113
3,20,0.977,-0.008,-0.148
3,20,0.984,-0.078,-0.105
3,20,0.988,0.066,-0.117
3,20,0.98,-0.016,-0.148
3,20,0.977,-0.078,-0.129
3,20,1.027,0.121,-0.109
3,20,0.977,-0.008,-0.148
3,20,0.977,-0.063,-0.129
3,20,1.031,0.125,-0.098
3,20,1,0,-0.133
3,20,1.031,0.105,-0.133
3,20,0.992,0.055,-0.141
3,20,0.996,-0.039,-0.137
3,20,0.965,-0.059,-0.105
3,20,0.984,0.051,-0.145
3,20,0.996,-0.047,-0.133
3,20,0.977,-0.105,-0.105
3,20,0.992,0.043,-0.129
3,20,0.988,-0.043,-0.129
3,20,0.957,-0.148,-0.137
3,20,0.996,0.027,-0.129
3,20,0.988,-0.039,-0.129
3,20,0.957,-0.152,-0.145
3,20,0.992,0.043,-0.129
3,20,1.023,-0.027,-0.125
3,20,0.965,-0.141,-0.141
3,20,0.988,0.063,-0.137
3,20,1.012,0.004,-0.121
3,20,1.008,0.113,-0.121
3,20,1.008,0.016,-0.125
3,20,0.969,-0.125,-0.137
3,20,0.973,-0.008,-0.121
3,20,1.012,0.008,-0.117
3,20,0.945,-0.148,-0.156
3,20,0.996,-0.004,-0.137
3,20,1.004,0.016,-0.121
3,20,0.941,-0.152,-0.145
3,20,0.984,-0.035,-0.117
3,20,0.996,0.008,-0.113
3,20,1.004,-0.137,-0.148
3,20,0.977,-0.039,-0.109
3,20,1.008,0.016,-0.117
3,20,1.004,-0.125,-0.148
3,20,0.977,-0.043,-0.113
3,20,0.992,0.023,-0.125
3,20,1.004,-0.117,-0.145
3,20,0.969,-0.031,-0.113
3,20,1.016,0.012,-0.129
3,20,0.996,0.078,-0.133
3,20,1.016,0.063,-0.117
3,20,0.957,-0.105,-0.152
3,20,0.984,0.109,-0.109
3,20,1,-0.023,-0.109
3,20,0.957,-0.094,-0.156
3,20,0.977,-0.07,-0.109
3,20,1.004,0.031,-0.117
3,20,0.957,-0.09,-0.152
3,20,0.969,-0.074,-0.109
3,20,1.016,0.055,-0.121
3,20,0.953,-0.086,-0.145
3,20,0.969,-0.066,-0.113
3,20,1.031,0.07,-0.121
3,20,0.965,-0.051,-0.137
3,20,0.973,-0.055,-0.121
3,20,1.02,0.066,-0.117
3,20,1.004,-0.059,-0.141
3,20,0.973,-0.043,-0.117
3,20,1.02,0.059,-0.113
3,20,1.008,-0.102,-0.16
3,20,0.984,-0.016,-0.121
3,20,1.016,0.051,-0.113
3,20,1.008,-0.125,-0.16
3,20,0.98,-0.023,-0.121
3,20,1.016,0.043,-0.117
3,20,1.004,0.164,-0.152
3,20,1.031,0.098,-0.109
3,20,0.973,-0.043,-0.141
3,20,0.977,0.148,-0.109
3,20,0.984,-0.07,-0.105
3,20,0.992,-0.012,-0.125
3,20,0.977,-0.063,-0.102
3,20,1.035,0.094,-0.109
3,20,0.965,-0.066,-0.145
3,20,0.988,-0.039,-0.113
3,20,1.023,0.086,-0.113
3,20,0.957,-0.082,-0.152
3,20,1,-0.031,-0.105
3,20,1.027,0.074,-0.121
3,20,0.957,-0.094,-0.152
3,20,0.977,-0.059,-0.125
3,20,1.027,0.063,-0.109
3,20,1,-0.09,-0.148
3,20,0.977,-0.078,-0.117
3,20,1.023,0.035,-0.109
3,20,0.996,-0.082,-0.145
3,20,0.98,-0.074,-0.125
3,20,0.969,0.063,-0.137
3,20,1.004,-0.078,-0.148
3,20,0.973,-0.07,-0.133
3,20,1.035,0.074,-0.117
3,20,0.984,0.094,-0.141
3,20,1.031,0.105,-0.102
3,20,0.969,-0.039,-0.148
3,20,0.965,0.039,-0.117
3,20,0.988,-0.078,-0.117
3,20,0.965,-0.039,-0.152
3,20,0.98,-0.074,-0.117
3,20,1.02,0.066,-0.109
3,20,0.973,-0.035,-0.148
3,20,0.977,-0.078,-0.102
3,20,0.996,0.027,-0.109
3,20,0.969,-0.035,-0.152
3,20,0.98,-0.082,-0.102
3,20,1.023,0.098,-0.105
3,20,0.977,-0.035,-0.148
3,20,0.98,-0.074,-0.121
3,20,1.035,0.105,-0.105
3,20,0.992,-0.016,-0.133
3,20,0.98,-0.066,-0.125
3,20,1.031,0.109,-0.113
3,20,1,-0.027,-0.133
3,20,0.98,-0.059,-0.125
3,20,1.023,0.098,-0.121
3,20,0.992,-0.059,-0.145
3,20,0.988,-0.031,-0.117
3,20,1.023,0.094,-0.109
3,20,1,0.129,-0.156
3,20,0.988,0.063,-0.117
3,20,0.98,-0.004,-0.141
3,20,0.977,0.141,-0.109
3,20,0.973,-0.117,-0.125
3,20,0.98,-0.004,-0.141
3,20,0.992,-0.063,-0.105
3,20,1.031,0.121,-0.094
3,20,0.992,0.02,-0.133
3,20,1.027,-0.055,-0.121
3,20,0.973,-0.117,-0.129
3,20,1,0,-0.137
3,20,1.031,-0.051,-0.125
3,20,0.973,-0.113,-0.121
3,20,0.977,-0.012,-0.148
3,20,0.988,-0.031,-0.129
3,20,1.031,0.105,-0.102
3,20,0.984,-0.02,-0.148
3,20,1,-0.039,-0.125
3,20,1.027,0.102,-0.102
3,20,0.984,-0.02,-0.152
3,20,0.984,-0.063,-0.133
3,20,1.016,0.082,-0.105
3,20,1,0.098,-0.148
3,20,1.039,0.117,-0.09
3,20,0.984,0.039,-0.125
3,20,0.996,-0.043,-0.133
3,20,0.953,-0.152,-0.09
3,20,1,0.02,-0.125
3,20,0.996,-0.039,-0.125
3,20,0.961,-0.145,-0.137
3,20,0.992,0.035,-0.133
3,20,1.031,-0.02,-0.117
3,20,0.965,-0.129,-0.133
3,20,0.988,0.039,-0.145
3,20,1,-0.035,-0.125
3,20,0.965,-0.113,-0.113
3,20,0.98,0.031,-0.141
3,20,1.027,-0.047,-0.121
3,20,0.965,-0.098,-0.129
3,20,0.984,0.023,-0.145
3,20,1.039,0.117,-0.137
3,20,0.996,0.051,-0.125
3,20,1.012,-0.016,-0.117
3,20,0.949,0.113,-0.086
3,20,0.984,-0.004,-0.117
3,20,1.004,-0.012,-0.125
3,20,0.949,-0.16,-0.086
3,20,0.992,0.09,-0.129
3,20,1.004,-0.008,-0.121
3,20,0.957,-0.137,-0.09
3,20,1,0.09,-0.141
3,20,0.984,-0.004,-0.121
3,20,0.957,-0.129,-0.086
3,20,1,0.09,-0.137
3,20,1,-0.016,-0.129
3,20,0.961,-0.121,-0.137
3,20,1,0.082,-0.141
3,20,1.035,-0.035,-0.129
3,20,0.965,-0.086,-0.137
3,20,0.988,0.07,-0.137
3,20,1.039,-0.043,-0.125
3,20,0.992,-0.008,-0.133
3,20,0.992,0.063,-0.133
3,20,1.031,-0.035,-0.129
3,20,0.965,-0.121,-0.129
3,20,0.98,0.059,-0.137
3,20,1.031,0.086,-0.129
3,20,1.004,0.129,-0.125
3,20,1.004,-0.012,-0.109
3,20,0.953,0.09,-0.09
3,20,0.973,-0.023,-0.113
3,20,0.977,0.027,-0.137
3,20,1.004,-0.125,-0.141
3,20,0.969,-0.02,-0.117
3,20,1.004,0.008,-0.125
3,20,1,-0.094,-0.141
3,20,0.984,-0.016,-0.117
3,20,1,-0.004,-0.121
3,20,0.961,-0.035,-0.133
3,20,1,0.105,-0.129
3,20,1.004,0,-0.133
