,Unnamed: 0,Unnamed: 0.1,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
0,0,0,1,2013,3,1,0,4.0,4.0,3.0,,200.0,82.0,-2.3,1020.8,-19.7,0.0,1.0,0.5,Dingling
1,1,1,2,2013,3,1,1,7.0,7.0,3.0,,200.0,80.0,-2.5,1021.3,-19.0,0.0,2.0,0.7,Dingling
2,2,2,3,2013,3,1,2,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,0.0,2.0,0.2,Dingling
3,3,3,4,2013,3,1,3,6.0,6.0,3.0,,200.0,79.0,-3.6,1021.8,-19.1,0.0,6.0,1.0,Dingling
4,4,4,5,2013,3,1,4,5.0,5.0,3.0,,200.0,81.0,-3.5,1022.3,-19.4,0.0,4.0,2.1,Dingling
5,5,5,6,2013,3,1,5,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,0.0,7.0,1.7,Dingling
6,6,6,7,2013,3,1,6,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,0.0,7.0,1.8,Dingling
7,7,7,8,2013,3,1,7,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,0.0,8.0,2.5,Dingling
8,8,8,9,2013,3,1,8,8.0,7.0,3.0,3.0,200.0,79.0,-0.2,1025.2,-20.5,0.0,7.0,2.8,Dingling
9,9,9,10,2013,3,1,9,8.0,8.0,3.0,2.0,200.0,81.0,0.6,1025.3,-20.4,0.0,7.0,3.8,Dingling
10,10,10,11,2013,3,1,10,8.0,,3.0,,200.0,83.0,2.0,1025.1,-21.3,0.0,4.0,2.2,Dingling
11,11,11,12,2013,3,1,11,3.0,2.0,3.0,,200.0,83.0,3.6,1024.8,-20.7,0.0,6.0,2.7,Dingling
12,12,12,13,2013,3,1,12,6.0,,3.0,,200.0,85.0,4.8,1023.8,-19.7,0.0,4.0,3.0,Dingling
13,13,13,14,2013,3,1,13,7.0,7.0,3.0,2.0,200.0,84.0,5.8,1022.8,-20.6,0.0,5.0,4.4,Dingling
14,14,14,15,2013,3,1,14,6.0,7.0,3.0,,200.0,89.0,5.9,1022.6,-20.5,0.0,4.0,3.6,Dingling
15,15,15,16,2013,3,1,15,10.0,10.0,3.0,,200.0,88.0,6.0,1022.6,-20.4,0.0,4.0,3.2,Dingling
16,16,16,17,2013,3,1,16,3.0,6.0,3.0,,200.0,87.0,5.4,1022.8,-20.0,0.0,5.0,2.2,Dingling
17,17,17,18,2013,3,1,17,5.0,5.0,3.0,,200.0,87.0,3.5,1023.4,-20.8,0.0,2.0,2.0,Dingling
18,18,18,19,2013,3,1,18,5.0,6.0,3.0,,200.0,85.0,2.7,1024.2,-20.0,0.0,5.0,3.6,Dingling
19,19,19,20,2013,3,1,19,14.0,6.0,3.0,,200.0,83.0,2.0,1025.1,-19.3,0.0,2.0,1.7,Dingling
20,20,20,21,2013,3,1,20,6.0,7.0,3.0,,200.0,83.0,1.1,1025.9,-18.3,0.0,5.0,1.7,Dingling
21,21,21,22,2013,3,1,21,9.0,7.0,3.0,,200.0,82.0,1.6,1026.7,-17.4,0.0,1.0,2.3,Dingling
22,22,22,23,2013,3,1,22,6.0,5.0,3.0,,200.0,79.0,0.4,1027.2,-17.4,0.0,1.0,0.0,Dingling
23,23,23,24,2013,3,1,23,6.0,9.0,3.0,2.0,300.0,72.0,0.3,1027.0,-16.6,0.0,5.0,1.5,Dingling
24,24,24,25,2013,3,2,0,4.0,7.0,3.0,2.0,200.0,74.0,-0.5,1027.4,-16.4,0.0,13.0,3.0,Dingling
25,25,25,26,2013,3,2,1,6.0,6.0,3.0,2.0,200.0,75.0,-1.8,1027.9,-16.7,0.0,12.0,0.9,Dingling
26,26,26,27,2013,3,2,2,7.0,2.0,13.0,39.0,800.0,36.0,-1.7,1027.7,-17.4,0.0,12.0,1.5,Dingling
27,27,27,28,2013,3,2,3,28.0,47.0,21.0,71.0,1200.0,6.0,-2.5,1027.7,-17.4,0.0,13.0,1.7,Dingling
28,28,28,29,2013,3,2,4,31.0,65.0,25.0,71.0,1200.0,5.0,-3.4,1027.5,-17.0,0.0,8.0,0.8,Dingling
