,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
0,1,2013,3,1,0,9.0,9.0,3.0,17.0,300.0,89.0,-0.5,1024.5,-21.4,0.0,7.0,5.7,Dongsi
1,2,2013,3,1,1,4.0,4.0,3.0,16.0,300.0,88.0,-0.7,1025.1,-22.1,0.0,8.0,3.9,Dongsi
2,3,2013,3,1,2,7.0,7.0,,17.0,300.0,60.0,-1.2,1025.3,-24.6,0.0,7.0,5.3,Dongsi
3,4,2013,3,1,3,3.0,3.0,5.0,18.0,,,-1.4,1026.2,-25.5,0.0,4.0,4.9,Dongsi
4,5,2013,3,1,4,3.0,3.0,7.0,,200.0,84.0,-1.9,1027.1,-24.5,0.0,7.0,3.2,Dongsi
5,6,2013,3,1,5,4.0,4.0,9.0,25.0,300.0,78.0,-2.4,1027.5,-21.3,0.0,8.0,2.4,Dongsi
6,7,2013,3,1,6,5.0,5.0,10.0,29.0,400.0,67.0,-2.5,1028.2,-20.4,0.0,8.0,2.2,Dongsi
7,8,2013,3,1,7,3.0,6.0,12.0,40.0,400.0,52.0,-1.4,1029.5,-20.4,0.0,7.0,3.0,Dongsi
8,9,2013,3,1,8,3.0,6.0,12.0,41.0,500.0,54.0,-0.3,1030.4,-21.2,0.0,8.0,4.6,Dongsi
9,10,2013,3,1,9,3.0,6.0,9.0,31.0,400.0,69.0,0.4,1030.5,-23.3,0.0,4.0,5.5,Dongsi
10,11,2013,3,1,10,3.0,6.0,7.0,19.0,300.0,82.0,1.4,1030.2,-22.5,0.0,4.0,5.2,Dongsi
11,12,2013,3,1,11,6.0,6.0,7.0,19.0,400.0,83.0,2.9,1029.8,-22.9,0.0,7.0,5.3,Dongsi
12,13,2013,3,1,12,3.0,6.0,6.0,18.0,300.0,86.0,4.0,1028.6,-21.2,0.0,14.0,4.6,Dongsi
13,14,2013,3,1,13,3.0,6.0,5.0,16.0,300.0,91.0,5.0,1027.8,-21.2,0.0,8.0,4.5,Dongsi
14,15,2013,3,1,14,3.0,6.0,5.0,16.0,300.0,92.0,6.2,1027.6,-22.2,0.0,8.0,4.0,Dongsi
15,16,2013,3,1,15,3.0,10.0,5.0,17.0,300.0,92.0,6.0,1027.7,-21.3,0.0,7.0,2.1,Dongsi
16,17,2013,3,1,16,9.0,17.0,6.0,19.0,300.0,91.0,5.6,1027.7,-20.7,0.0,4.0,1.8,Dongsi
17,18,2013,3,1,17,9.0,22.0,9.0,21.0,400.0,87.0,4.4,1028.2,-20.9,0.0,4.0,3.5,Dongsi
18,19,2013,3,1,18,11.0,23.0,8.0,28.0,400.0,79.0,3.2,1029.4,-20.3,0.0,7.0,0.5,Dongsi
19,20,2013,3,1,19,13.0,17.0,12.0,42.0,600.0,63.0,3.0,1030.1,-19.7,0.0,4.0,1.1,Dongsi
20,21,2013,3,1,20,5.0,13.0,9.0,38.0,500.0,64.0,1.6,1031.3,-19.0,0.0,2.0,1.2,Dongsi
21,22,2013,3,1,21,15.0,17.0,13.0,51.0,600.0,48.0,0.8,1032.4,-19.7,0.0,5.0,1.0,Dongsi
22,23,2013,3,1,22,19.0,21.0,17.0,60.0,700.0,36.0,0.1,1032.9,-19.2,0.0,2.0,1.8,Dongsi
23,24,2013,3,1,23,8.0,14.0,16.0,58.0,600.0,39.0,-0.5,1032.8,-19.7,0.0,5.0,2.1,Dongsi
24,25,2013,3,2,0,4.0,11.0,11.0,45.0,500.0,52.0,-0.7,1033.0,-18.3,0.0,1.0,0.6,Dongsi
25,26,2013,3,2,1,3.0,6.0,11.0,43.0,500.0,53.0,-1.6,1033.2,-17.4,0.0,2.0,0.0,Dongsi
26,27,2013,3,2,2,3.0,6.0,10.0,36.0,400.0,61.0,-2.2,1032.9,-16.7,0.0,4.0,0.0,Dongsi
27,28,2013,3,2,3,3.0,6.0,11.0,41.0,500.0,46.0,-3.1,1032.6,-15.8,0.0,4.0,0.0,Dongsi
28,29,2013,3,2,4,3.0,6.0,9.0,31.0,400.0,60.0,-3.1,1032.7,-16.1,0.0,4.0,0.0,Dongsi
29,30,2013,3,2,5,9.0,9.0,10.0,32.0,500.0,62.0,-2.4,1032.1,-18.1,0.0,6.0,0.8,Dongsi
30,31,2013,3,2,6,3.0,6.0,15.0,59.0,600.0,30.0,-2.3,1031.3,-18.4,0.0,4.0,1.5,Dongsi
31,32,2013,3,2,7,13.0,13.0,14.0,45.0,600.0,47.0,-1.9,1031.9,-18.5,0.0,4.0,1.4,Dongsi
32,33,2013,3,2,8,3.0,6.0,19.0,48.0,600.0,43.0,-0.9,1031.7,-18.0,0.0,6.0,1.6,Dongsi
33,34,2013,3,2,9,3.0,6.0,24.0,49.0,500.0,44.0,0.1,1031.7,-18.1,0.0,5.0,0.5,Dongsi
34,35,2013,3,2,10,3.0,7.0,24.0,55.0,600.0,36.0,1.5,1031.2,-18.0,0.0,2.0,0.6,Dongsi
35,36,2013,3,2,11,4.0,14.0,18.0,54.0,700.0,34.0,2.6,1030.2,-18.2,0.0,13.0,3.1,Dongsi
36,37,2013,3,2,12,17.0,22.0,18.0,61.0,1100.0,32.0,3.8,1029.0,-17.8,0.0,12.0,1.1,Dongsi
37,38,2013,3,2,13,23.0,29.0,19.0,54.0,800.0,39.0,3.8,1027.6,-17.8,0.0,9.0,1.0,Dongsi
38,39,2013,3,2,14,32.0,34.0,18.0,48.0,700.0,47.0,3.9,1026.8,-18.3,0.0,12.0,0.4,Dongsi
39,40,2013,3,2,15,35.0,37.0,25.0,49.0,900.0,49.0,4.3,1026.2,-18.0,0.0,12.0,1.5,Dongsi
40,41,2013,3,2,16,42.0,52.0,43.0,60.0,1300.0,41.0,4.1,1025.4,-16.9,0.0,12.0,1.9,Dongsi
41,42,2013,3,2,17,54.0,69.0,41.0,62.0,1100.0,40.0,3.2,1025.3,-16.0,0.0,16.0,1.3,Dongsi
42,43,2013,3,2,18,56.0,82.0,43.0,63.0,1100.0,37.0,2.2,1025.4,-15.8,0.0,5.0,0.4,Dongsi
43,44,2013,3,2,19,63.0,92.0,45.0,72.0,1200.0,27.0,1.6,1025.0,-15.4,0.0,4.0,0.1,Dongsi
44,45,2013,3,2,20,71.0,98.0,46.0,80.0,1899.0,17.0,0.7,1025.0,-15.3,0.0,4.0,1.0,Dongsi
45,46,2013,3,2,21,79.0,111.0,61.0,95.0,1800.0,6.0,0.5,1024.8,-15.1,0.0,4.0,0.2,Dongsi
46,47,2013,3,2,22,98.0,121.0,71.0,112.0,2299.0,2.0,-1.0,1024.2,-14.6,0.0,2.0,0.0,Dongsi
47,48,2013,3,2,23,108.0,131.0,73.0,110.0,2600.0,2.0,-1.3,1023.2,-14.5,0.0,4.0,0.0,Dongsi
48,49,2013,3,3,0,115.0,141.0,70.0,111.0,2700.0,2.0,-2.2,1022.3,-12.8,0.0,4.0,0.0,Dongsi
49,50,2013,3,3,1,127.0,152.0,65.0,109.0,2600.0,2.0,-1.8,1021.4,-13.3,0.0,14.0,0.7,Dongsi
50,51,2013,3,3,2,132.0,151.0,64.0,107.0,2399.0,2.0,-2.4,1020.4,-13.3,0.0,1.0,1.3,Dongsi
51,52,2013,3,3,3,124.0,133.0,83.0,104.0,2399.0,2.0,-3.3,1019.4,-12.5,0.0,3.0,1.2,Dongsi
52,53,2013,3,3,4,112.0,118.0,92.0,105.0,2399.0,2.0,-4.2,1019.0,-12.6,0.0,1.0,0.1,Dongsi
53,54,2013,3,3,5,101.0,107.0,74.0,99.0,2299.0,2.0,-5.2,1018.5,-11.6,0.0,5.0,0.9,Dongsi
54,55,2013,3,3,6,88.0,105.0,80.0,94.0,2500.0,2.0,-5.4,1018.3,-11.3,0.0,2.0,0.0,Dongsi
55,56,2013,3,3,7,98.0,113.0,82.0,100.0,2899.0,2.0,-3.3,1018.6,-9.8,0.0,4.0,0.1,Dongsi
56,57,2013,3,3,8,97.0,124.0,79.0,95.0,2799.0,2.0,1.2,1018.1,-13.7,0.0,4.0,0.8,Dongsi
57,58,2013,3,3,9,95.0,115.0,102.0,95.0,2399.0,3.0,4.0,1017.6,-13.4,0.0,10.0,0.6,Dongsi
58,59,2013,3,3,10,91.0,112.0,102.0,98.0,2200.0,10.0,6.8,1016.7,-13.5,0.0,12.0,1.1,Dongsi
59,60,2013,3,3,11,98.0,123.0,83.0,104.0,2500.0,14.0,9.5,1015.6,-13.7,0.0,14.0,0.5,Dongsi
60,61,2013,3,3,12,107.0,134.0,70.0,111.0,2600.0,17.0,13.4,1014.4,-13.6,0.0,15.0,1.8,Dongsi
61,62,2013,3,3,13,114.0,130.0,43.0,85.0,1800.0,38.0,15.5,1013.0,-13.8,0.0,8.0,4.0,Dongsi
62,63,2013,3,3,14,81.0,104.0,19.0,46.0,1000.0,68.0,16.4,1012.4,-15.4,0.0,14.0,7.0,Dongsi
63,64,2013,3,3,15,49.0,80.0,7.0,17.0,500.0,94.0,16.6,1012.0,-15.2,0.0,15.0,4.7,Dongsi
64,65,2013,3,3,16,28.0,66.0,14.0,33.0,700.0,82.0,15.8,1012.2,-14.7,0.0,2.0,1.3,Dongsi
65,66,2013,3,3,17,41.0,106.0,24.0,60.0,1000.0,67.0,12.6,1013.0,-13.4,0.0,12.0,1.3,Dongsi
66,67,2013,3,3,18,58.0,106.0,26.0,74.0,1200.0,50.0,9.9,1014.1,-10.3,0.0,15.0,1.0,Dongsi
67,68,2013,3,3,19,87.0,212.0,58.0,127.0,2000.0,17.0,6.8,1014.9,-9.6,0.0,14.0,0.0,Dongsi
68,69,2013,3,3,20,142.0,274.0,56.0,136.0,2299.0,4.0,5.2,1015.2,-8.3,0.0,14.0,0.0,Dongsi
69,70,2013,3,3,21,152.0,202.0,45.0,122.0,2399.0,2.0,4.0,1015.4,-9.1,0.0,4.0,0.2,Dongsi
70,71,2013,3,3,22,143.0,149.0,29.0,107.0,2299.0,2.0,2.7,1015.8,-8.4,0.0,15.0,0.4,Dongsi
71,72,2013,3,3,23,80.0,101.0,32.0,104.0,3299.0,2.0,7.1,1016.7,-12.2,0.0,4.0,0.4,Dongsi
72,73,2013,3,4,0,68.0,110.0,46.0,109.0,4000.0,3.0,9.9,1017.5,-14.1,0.0,4.0,4.9,Dongsi
73,74,2013,3,4,1,61.0,89.0,21.0,58.0,900.0,22.0,9.3,1018.4,-13.9,0.0,7.0,3.6,Dongsi
74,75,2013,3,4,2,43.0,48.0,6.2832,20.1194,,94.0,8.4,1018.7,-13.9,0.0,4.0,1.5,Dongsi
75,76,2013,3,4,3,13.0,19.0,3.0,14.0,400.0,84.0,7.4,1018.6,-14.2,0.0,4.0,3.6,Dongsi
76,77,2013,3,4,4,6.0,13.0,8.0,28.0,500.0,65.0,6.2,1019.6,-15.2,0.0,7.0,2.7,Dongsi
77,78,2013,3,4,5,7.0,19.0,13.0,48.0,600.0,40.0,6.0,1020.1,-14.2,0.0,8.0,2.4,Dongsi
78,79,2013,3,4,6,9.0,23.0,18.0,61.0,800.0,27.0,4.2,1020.8,-12.7,0.0,8.0,2.0,Dongsi
79,80,2013,3,4,7,10.0,31.0,26.0,82.0,900.0,8.0,7.2,1021.5,-12.6,0.0,7.0,3.2,Dongsi
80,81,2013,3,4,8,11.0,34.0,27.0,76.0,1100.0,14.0,8.6,1022.3,-14.4,0.0,5.0,2.8,Dongsi
81,82,2013,3,4,9,15.0,25.0,18.0,40.0,700.0,55.0,9.9,1022.6,-14.8,0.0,4.0,2.4,Dongsi
82,83,2013,3,4,10,3.0,7.0,14.0,30.0,600.0,72.0,11.5,1022.3,-14.3,0.0,4.0,0.0,Dongsi
83,84,2013,3,4,11,13.0,15.0,12.0,25.0,500.0,80.0,12.3,1022.0,-15.4,0.0,4.0,2.4,Dongsi
84,85,2013,3,4,12,13.0,20.0,10.0,21.0,500.0,86.0,13.9,1020.6,-16.2,0.0,4.0,3.3,Dongsi
85,86,2013,3,4,13,3.0,9.0,6.0,18.0,500.0,92.0,14.8,1019.5,-15.5,0.0,4.0,1.4,Dongsi
86,87,2013,3,4,14,3.0,6.0,6.0,18.0,500.0,92.0,15.3,1018.6,-15.1,0.0,1.0,1.3,Dongsi
87,88,2013,3,4,15,4.0,10.0,6.0,23.0,500.0,89.0,15.6,1018.1,-14.8,0.0,12.0,2.0,Dongsi
88,89,2013,3,4,16,18.0,18.0,9.0,31.0,600.0,85.0,14.7,1017.5,-15.5,0.0,13.0,2.9,Dongsi
89,90,2013,3,4,17,17.0,24.0,8.0,33.0,600.0,102.0,13.2,1017.8,-15.7,0.0,13.0,3.0,Dongsi
90,91,2013,3,4,18,20.0,29.0,9.0,35.0,600.0,94.0,12.6,1018.3,-13.4,0.0,13.0,2.9,Dongsi
91,92,2013,3,4,19,31.0,60.0,13.0,53.0,700.0,68.0,12.0,1018.5,-13.1,0.0,16.0,2.7,Dongsi
92,93,2013,3,4,20,39.0,86.0,19.0,68.0,1000.0,47.0,10.9,1018.8,-11.9,0.0,10.0,1.4,Dongsi
93,94,2013,3,4,21,51.0,93.0,28.0,75.0,1100.0,42.0,10.2,1018.8,-11.8,0.0,13.0,2.0,Dongsi
94,95,2013,3,4,22,59.0,98.0,24.0,86.0,1100.0,32.0,10.0,1018.5,-12.0,0.0,13.0,3.0,Dongsi
95,96,2013,3,4,23,66.0,95.0,46.0,92.0,1300.0,102.0,9.4,1017.5,-11.3,0.0,12.0,2.7,Dongsi
96,97,2013,3,5,0,74.0,96.0,60.0,84.0,1300.0,102.0,8.8,1017.0,-10.7,0.0,12.0,2.1,Dongsi
97,98,2013,3,5,1,89.0,116.0,64.0,76.0,1399.0,102.0,7.8,1016.5,-10.6,0.0,11.0,1.3,Dongsi
98,99,2013,3,5,2,95.0,133.0,,71.0,1399.0,102.0,4.7,1016.1,-10.6,0.0,9.0,0.0,Dongsi
99,100,2013,3,5,3,104.0,136.0,71.0,78.0,,102.0,4.5,1015.7,-9.3,0.0,4.0,0.0,Dongsi
100,101,2013,3,5,4,115.0,138.0,81.0,,1200.0,102.0,1.3,1015.7,-8.8,0.0,3.0,1.2,Dongsi
101,102,2013,3,5,5,131.0,146.0,78.0,94.0,2100.0,102.0,0.4,1015.7,-9.6,0.0,2.0,0.8,Dongsi
102,103,2013,3,5,6,123.0,133.0,70.0,104.0,2700.0,102.0,-0.2,1015.5,-8.4,0.0,2.0,1.0,Dongsi
103,104,2013,3,5,7,106.0,139.0,76.0,102.0,3000.0,102.0,2.1,1015.4,-8.6,0.0,1.0,0.9,Dongsi
104,105,2013,3,5,8,107.0,150.0,75.0,97.0,3000.0,102.0,5.0,1015.1,-8.9,0.0,1.0,1.0,Dongsi
105,106,2013,3,5,9,117.0,165.0,93.0,106.0,2700.0,102.0,6.7,1014.5,-8.9,0.0,1.0,1.3,Dongsi
106,107,2013,3,5,10,131.0,176.0,86.0,114.0,2600.0,102.0,9.1,1013.8,-8.5,0.0,1.0,0.9,Dongsi
107,108,2013,3,5,11,141.0,177.0,86.0,126.0,2600.0,102.0,10.9,1012.8,-8.4,0.0,3.0,1.3,Dongsi
108,109,2013,3,5,12,153.0,190.0,78.0,143.0,2700.0,18.0,12.3,1011.4,-8.8,0.0,1.0,0.0,Dongsi
109,110,2013,3,5,13,169.0,198.0,72.0,152.0,2500.0,102.0,13.0,1010.1,-8.3,0.0,2.0,1.5,Dongsi
110,111,2013,3,5,14,169.0,181.0,68.0,170.0,2600.0,102.0,13.3,1009.5,-8.0,0.0,2.0,1.6,Dongsi
111,112,2013,3,5,15,174.0,198.0,73.0,204.0,3100.0,102.0,13.8,1009.1,-7.6,0.0,1.0,1.9,Dongsi
112,113,2013,3,5,16,194.0,221.0,82.0,205.0,3000.0,102.0,13.2,1009.0,-7.5,0.0,2.0,1.8,Dongsi
113,114,2013,3,5,17,208.0,243.0,88.0,189.0,2399.0,94.0,11.6,1009.4,-7.3,0.0,6.0,0.7,Dongsi
114,115,2013,3,5,18,213.0,249.0,85.0,170.0,2000.0,68.0,9.4,1009.8,-5.7,0.0,3.0,0.7,Dongsi
115,116,2013,3,5,19,203.0,236.0,90.0,187.0,2299.0,47.0,6.7,1010.4,-5.0,0.0,3.0,0.1,Dongsi
116,117,2013,3,5,20,209.0,240.0,92.0,185.0,2500.0,42.0,5.2,1010.7,-4.7,0.0,4.0,0.0,Dongsi
117,118,2013,3,5,21,222.0,250.0,104.0,188.0,2899.0,32.0,4.3,1010.5,-2.6,0.0,2.0,1.0,Dongsi
118,119,2013,3,5,22,228.0,245.0,103.0,184.0,3200.0,30.0,4.3,1010.7,-4.2,0.0,1.0,0.8,Dongsi
119,120,2013,3,5,23,227.0,240.0,111.0,192.0,3100.0,30.0,4.9,1010.5,-5.8,0.0,1.0,0.0,Dongsi
120,121,2013,3,6,0,236.0,251.0,111.0,187.0,3299.0,30.0,5.6,1010.4,-7.0,0.0,5.0,0.8,Dongsi
121,122,2013,3,6,1,245.0,261.0,97.0,173.0,2700.0,30.0,3.5,1010.2,-6.0,0.0,6.0,0.5,Dongsi
122,123,2013,3,6,2,176.0,220.0,94.0,172.0,2700.0,30.0,6.3,1009.9,-7.0,0.0,5.0,1.0,Dongsi
123,124,2013,3,6,3,168.0,191.0,89.0,169.0,2600.0,30.0,6.3,1009.6,-7.0,0.0,5.0,0.7,Dongsi
124,125,2013,3,6,4,155.0,182.0,84.0,163.0,2500.0,30.0,5.1,1009.5,-6.5,0.0,5.0,1.0,Dongsi
125,126,2013,3,6,5,152.0,176.0,86.0,172.0,2399.0,30.0,4.6,1009.8,-6.3,0.0,5.0,0.7,Dongsi
126,127,2013,3,6,6,154.0,181.0,95.0,163.0,2700.0,30.0,4.1,1010.3,-6.2,0.0,4.0,0.8,Dongsi
127,128,2013,3,6,7,190.0,194.0,105.0,156.0,2600.0,30.0,5.3,1011.0,-6.0,0.0,5.0,0.9,Dongsi
128,129,2013,3,6,8,193.0,199.0,78.0,134.0,2200.0,30.0,6.9,1010.8,-6.5,0.0,7.0,1.3,Dongsi
129,130,2013,3,6,9,185.0,200.0,76.0,129.0,2399.0,30.0,8.4,1010.8,-6.6,0.0,4.0,0.8,Dongsi
130,131,2013,3,6,10,138.0,172.0,74.0,124.0,2299.0,30.0,8.8,1010.4,-6.2,0.0,5.0,1.1,Dongsi
131,132,2013,3,6,11,177.0,177.0,82.0,130.0,2399.0,30.0,9.5,1009.5,-6.0,0.0,2.0,1.0,Dongsi
132,133,2013,3,6,12,182.0,197.0,88.0,138.0,2600.0,30.0,10.4,1008.5,-5.6,0.0,2.0,0.2,Dongsi
133,134,2013,3,6,13,198.0,220.0,99.0,149.0,2600.0,30.0,11.5,1007.6,-5.1,0.0,11.0,0.8,Dongsi
134,135,2013,3,6,14,221.0,245.0,107.0,157.0,2799.0,30.0,13.2,1006.9,-4.5,0.0,12.0,1.0,Dongsi
135,136,2013,3,6,15,240.0,258.0,109.0,162.0,3000.0,30.0,14.7,1007.0,-4.6,0.0,13.0,1.3,Dongsi
