,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
0,1,2013,3,1,0,7.0,7.0,3.0,2.0,100.0,91.0,-2.3,1020.3,-20.7,0.0,15.0,3.1,Huairou
1,2,2013,3,1,1,4.0,4.0,3.0,,100.0,92.0,-2.7,1020.8,-20.5,0.0,7.0,1.5,Huairou
2,3,2013,3,1,2,4.0,4.0,,,100.0,91.0,-3.2,1020.6,-21.4,0.0,8.0,1.8,Huairou
3,4,2013,3,1,3,3.0,3.0,3.0,2.0,,,-3.3,1021.3,-23.7,0.0,7.0,2.4,Huairou
4,5,2013,3,1,4,3.0,3.0,7.0,,300.0,86.0,-4.1,1022.1,-22.7,0.0,7.0,2.2,Huairou
5,6,2013,3,1,5,4.0,4.0,3.0,3.0,200.0,85.0,-4.2,1022.3,-24.5,0.0,4.0,4.3,Huairou
6,7,2013,3,1,6,3.0,6.0,33.0,7.0,300.0,82.0,-5.9,1023.1,-21.9,0.0,15.0,0.6,Huairou
7,8,2013,3,1,7,3.0,10.0,13.0,13.0,400.0,71.0,-2.7,1024.3,-23.2,0.0,6.0,3.4,Huairou
8,9,2013,3,1,8,3.0,13.0,34.0,38.0,800.0,45.0,-1.6,1025.2,-23.5,0.0,6.0,4.6,Huairou
9,10,2013,3,1,9,17.0,36.0,50.0,28.0,700.0,60.0,-1.1,1025.4,-23.8,0.0,5.0,4.9,Huairou
10,11,2013,3,1,10,19.0,32.0,5.0,3.0,300.0,85.0,1.0,1025.1,-23.6,0.0,3.0,2.7,Huairou
11,12,2013,3,1,11,10.0,11.0,3.0,,300.0,87.0,2.4,1024.5,-22.5,0.0,10.0,3.9,Huairou
12,13,2013,3,1,12,3.0,6.0,5.0,3.0,300.0,86.0,3.9,1023.8,-21.3,0.0,14.0,1.9,Huairou
13,14,2013,3,1,13,3.0,6.0,7.0,3.0,300.0,87.0,4.7,1022.8,-22.4,0.0,9.0,3.3,Huairou
14,15,2013,3,1,14,3.0,6.0,9.0,6.0,300.0,87.0,5.7,1022.3,-22.6,0.0,8.0,1.9,Huairou
15,16,2013,3,1,15,3.0,3.0,4.0,3.0,200.0,89.0,5.4,1022.7,-22.8,0.0,5.0,3.1,Huairou
16,17,2013,3,1,16,3.0,6.0,16.0,6.0,300.0,86.0,4.6,1022.7,-22.5,0.0,5.0,3.2,Huairou
17,18,2013,3,1,17,4.0,10.0,13.0,12.0,300.0,80.0,3.4,1023.2,-21.7,0.0,4.0,2.8,Huairou
18,19,2013,3,1,18,4.0,12.0,10.0,15.0,300.0,76.0,1.2,1024.4,-21.2,0.0,2.0,1.4,Huairou
19,20,2013,3,1,19,9.0,18.0,24.0,22.0,500.0,68.0,0.8,1025.1,-20.9,0.0,6.0,2.3,Huairou
20,21,2013,3,1,20,20.0,24.0,22.0,24.0,500.0,65.0,0.7,1026.2,-20.4,0.0,6.0,4.4,Huairou
21,22,2013,3,1,21,23.0,29.0,27.0,16.0,400.0,71.0,-0.2,1027.3,-20.0,0.0,5.0,3.3,Huairou
22,23,2013,3,1,22,13.0,20.0,23.0,18.0,400.0,68.0,-1.0,1027.9,-19.6,0.0,5.0,3.7,Huairou
23,24,2013,3,1,23,13.0,24.0,50.0,23.0,400.0,61.0,-1.1,1027.4,-19.2,0.0,5.0,3.7,Huairou
24,25,2013,3,2,0,15.0,21.0,44.0,28.0,500.0,57.0,-1.8,1027.3,-19.3,0.0,5.0,4.8,Huairou
25,26,2013,3,2,1,9.0,16.0,28.0,17.0,400.0,67.0,-2.1,1027.9,-19.1,0.0,2.0,2.6,Huairou
26,27,2013,3,2,2,11.0,13.0,40.0,16.0,300.0,67.0,-2.2,1027.4,-19.6,0.0,5.0,3.9,Huairou
27,28,2013,3,2,3,8.0,15.0,27.0,17.0,400.0,64.0,-2.3,1027.1,-19.3,0.0,2.0,2.4,Huairou
28,29,2013,3,2,4,13.0,15.0,47.0,26.0,400.0,56.0,-3.4,1027.2,-18.1,0.0,14.0,0.6,Huairou
29,30,2013,3,2,5,15.0,18.0,42.2688,26.4837,,56.1204,-4.2,1026.9,-16.4,0.0,15.0,1.4,Huairou
30,31,2013,3,2,6,12.0,17.0,21.0,11.0,400.0,63.0,-4.5,1025.8,-16.4,0.0,1.0,1.9,Huairou
31,32,2013,3,2,7,7.0,11.0,11.0,18.0,500.0,45.0,-4.0,1026.6,-14.2,0.0,1.0,1.2,Huairou
32,33,2013,3,2,8,14.0,11.0,61.0,44.0,600.0,28.0,-2.6,1026.6,-16.7,0.0,2.0,0.8,Huairou
33,34,2013,3,2,9,22.0,31.0,63.0,60.0,800.0,18.0,-1.2,1026.2,-16.2,0.0,9.0,0.9,Huairou
34,35,2013,3,2,10,31.0,49.0,48.0,33.0,500.0,43.0,-0.1,1025.8,-16.9,0.0,11.0,0.6,Huairou
35,36,2013,3,2,11,27.0,35.0,79.0,47.0,600.0,35.0,1.1,1025.5,-16.8,0.0,16.0,1.8,Huairou
36,37,2013,3,2,12,36.0,50.0,73.0,50.0,700.0,38.0,2.0,1024.3,-18.1,0.0,13.0,1.2,Huairou
37,38,2013,3,2,13,31.0,47.0,41.0,39.0,500.0,48.0,2.2,1022.8,-17.9,0.0,9.0,1.1,Huairou
38,39,2013,3,2,14,28.0,37.0,25.0,34.0,400.0,54.0,2.3,1022.0,-17.3,0.0,13.0,2.1,Huairou
39,40,2013,3,2,15,26.0,31.0,25.0,50.0,600.0,40.0,2.8,1021.3,-17.4,0.0,13.0,1.8,Huairou
40,41,2013,3,2,16,29.0,41.0,27.0,60.0,700.0,30.0,2.2,1020.7,-16.8,0.0,12.0,1.4,Huairou
41,42,2013,3,2,17,36.0,52.0,44.0,81.0,800.0,16.0,1.2,1020.4,-15.8,0.0,14.0,0.9,Huairou
42,43,2013,3,2,18,44.0,67.0,42.0,91.0,1000.0,5.0,0.1,1020.4,-15.5,0.0,8.0,1.0,Huairou
43,44,2013,3,2,19,53.0,70.0,36.0,100.0,1100.0,2.0,-1.3,1019.9,-12.6,0.0,14.0,1.0,Huairou
44,45,2013,3,2,20,52.0,71.0,42.0,100.0,1800.0,2.0,-1.6,1019.7,-13.5,0.0,14.0,1.1,Huairou
45,46,2013,3,2,21,97.0,103.0,34.0,88.0,1600.0,2.0,-1.8,1019.6,-12.5,0.0,15.0,1.2,Huairou
46,47,2013,3,2,22,89.0,89.0,30.0,83.0,1600.0,2.0,-1.8,1019.0,-13.3,0.0,15.0,0.7,Huairou
47,48,2013,3,2,23,80.0,83.0,30.0,77.0,1399.0,2.0,-2.8,1018.1,-10.1,0.0,15.0,1.4,Huairou
48,49,2013,3,3,0,62.0,70.0,22.0,66.0,1300.0,2.0,-2.9,1017.0,-11.9,0.0,15.0,0.0,Huairou
49,50,2013,3,3,1,51.0,63.0,20.0,52.0,1000.0,6.0,-3.8,1016.2,-12.7,0.0,5.0,0.9,Huairou
50,51,2013,3,3,2,42.0,49.0,18.0,48.0,900.0,7.0,-4.6,1015.0,-11.2,0.0,4.0,0.8,Huairou
51,52,2013,3,3,3,40.0,45.0,19.0,52.0,1100.0,2.0,-5.5,1014.3,-11.2,0.0,15.0,1.5,Huairou
52,53,2013,3,3,4,44.0,51.0,16.0,45.0,1000.0,6.0,-6.1,1013.7,-12.0,0.0,15.0,1.3,Huairou
53,54,2013,3,3,5,45.0,49.0,12.0,45.0,1100.0,3.0,-6.9,1013.2,-12.6,0.0,7.0,0.4,Huairou
54,55,2013,3,3,6,55.0,58.0,12.0,44.0,1100.0,3.0,-7.2,1013.1,-12.3,0.0,6.0,0.8,Huairou
55,56,2013,3,3,7,47.0,57.0,12.0,43.0,1000.0,3.0,-5.6,1013.3,-11.3,0.0,15.0,1.5,Huairou
56,57,2013,3,3,8,58.0,59.0,17.0,41.0,1100.0,8.0,-0.4,1012.8,-11.8,0.0,4.0,0.5,Huairou
57,58,2013,3,3,9,64.0,68.0,83.0,55.0,1300.0,10.0,2.4,1012.5,-12.7,0.0,3.0,2.0,Huairou
58,59,2013,3,3,10,77.0,97.0,133.0,74.0,1500.0,16.0,5.2,1011.7,-12.8,0.0,8.0,0.9,Huairou
59,60,2013,3,3,11,96.0,127.0,83.0,62.0,1200.0,33.0,7.6,1010.4,-12.8,0.0,1.0,2.1,Huairou
60,61,2013,3,3,12,95.0,112.0,87.0,61.0,1200.0,43.0,10.1,1009.4,-12.5,0.0,3.0,3.0,Huairou
61,62,2013,3,3,13,94.0,115.0,75.0,57.0,1100.0,52.0,11.5,1008.1,-12.8,0.0,1.0,2.1,Huairou
62,63,2013,3,3,14,103.0,128.0,66.0,51.0,1000.0,55.0,13.2,1007.4,-12.9,0.0,3.0,3.0,Huairou
63,64,2013,3,3,15,103.0,140.0,64.0,65.0,1000.0,54.0,15.3,1007.1,-14.0,0.0,8.0,4.4,Huairou
64,65,2013,3,3,16,98.0,151.0,63.0,63.0,900.0,54.0,15.1,1007.3,-14.2,0.0,14.0,4.9,Huairou
65,66,2013,3,3,17,82.0,154.0,9.0,19.0,200.0,78.0,13.1,1007.9,-13.9,0.0,4.0,1.9,Huairou
66,67,2013,3,3,18,22.0,70.0,5.0,14.0,200.0,77.0,8.8,1009.2,-12.4,0.0,15.0,2.7,Huairou
67,68,2013,3,3,19,12.0,40.0,18.0,25.0,500.0,41.0,9.4,1010.0,-12.5,0.0,15.0,3.1,Huairou
68,69,2013,3,3,20,18.0,60.0,12.0,29.0,500.0,40.0,7.3,1010.1,-12.5,0.0,12.0,0.9,Huairou
