,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
0,1,2013,3,1,0,5.0,14.0,4.0,12.0,200.0,85.0,-0.5,1024.5,-21.4,0.0,7.0,5.7,Nongzhanguan
1,2,2013,3,1,1,8.0,12.0,6.0,14.0,200.0,84.0,-0.7,1025.1,-22.1,0.0,8.0,3.9,Nongzhanguan
2,3,2013,3,1,2,3.0,6.0,5.0,14.0,200.0,83.0,-1.2,1025.3,-24.6,0.0,7.0,5.3,Nongzhanguan
3,4,2013,3,1,3,5.0,5.0,5.0,14.0,200.0,84.0,-1.4,1026.2,-25.5,0.0,4.0,4.9,Nongzhanguan
4,5,2013,3,1,4,5.0,5.0,6.0,21.0,200.0,77.0,-1.9,1027.1,-24.5,0.0,7.0,3.2,Nongzhanguan
5,6,2013,3,1,5,3.0,3.0,13.0,21.0,300.0,77.0,-2.4,1027.5,-21.3,0.0,8.0,2.4,Nongzhanguan
6,7,2013,3,1,6,4.0,4.0,15.0,32.0,300.0,62.0,-2.5,1028.2,-20.4,0.0,8.0,2.2,Nongzhanguan
7,8,2013,3,1,7,3.0,7.0,14.0,45.0,400.0,48.0,-1.4,1029.5,-20.4,0.0,7.0,3.0,Nongzhanguan
8,9,2013,3,1,8,3.0,6.0,13.0,49.0,400.0,46.0,-0.3,1030.4,-21.2,0.0,8.0,4.6,Nongzhanguan
9,10,2013,3,1,9,11.0,14.0,9.0,28.0,400.0,68.0,0.4,1030.5,-23.3,0.0,4.0,5.5,Nongzhanguan
10,11,2013,3,1,10,3.0,7.0,6.0,20.0,300.0,77.0,1.4,1030.2,-22.5,0.0,4.0,5.2,Nongzhanguan
11,12,2013,3,1,11,3.0,6.0,6.0,19.0,300.0,81.0,2.9,1029.8,-22.9,0.0,7.0,5.3,Nongzhanguan
12,13,2013,3,1,12,3.0,6.0,4.0,17.0,300.0,86.0,4.0,1028.6,-21.2,0.0,14.0,4.6,Nongzhanguan
13,14,2013,3,1,13,3.0,6.0,4.0,17.0,300.0,87.0,5.0,1027.8,-21.2,0.0,8.0,4.5,Nongzhanguan
14,15,2013,3,1,14,6.0,11.0,4.0,19.0,300.0,86.0,6.2,1027.6,-22.2,0.0,8.0,4.0,Nongzhanguan
15,16,2013,3,1,15,5.0,13.0,4.0,18.0,300.0,89.0,6.0,1027.7,-21.3,0.0,7.0,2.1,Nongzhanguan
16,17,2013,3,1,16,5.0,12.0,4.0,21.0,300.0,85.0,5.6,1027.7,-20.7,0.0,4.0,1.8,Nongzhanguan
17,18,2013,3,1,17,10.0,23.0,8.0,25.0,400.0,80.0,4.4,1028.2,-20.9,0.0,4.0,3.5,Nongzhanguan
18,19,2013,3,1,18,11.0,22.0,7.0,27.0,400.0,77.0,3.2,1029.4,-20.3,0.0,7.0,0.5,Nongzhanguan
19,20,2013,3,1,19,11.0,12.0,12.0,39.0,400.0,64.0,3.0,1030.1,-19.7,0.0,4.0,1.1,Nongzhanguan
20,21,2013,3,1,20,10.0,14.0,18.0,46.0,500.0,55.0,1.6,1031.3,-19.0,0.0,2.0,1.2,Nongzhanguan
21,22,2013,3,1,21,12.0,15.0,18.0,50.0,500.0,49.0,0.8,1032.4,-19.7,0.0,5.0,1.0,Nongzhanguan
22,23,2013,3,1,22,17.0,20.0,20.0,56.0,600.0,43.0,0.1,1032.9,-19.2,0.0,2.0,1.8,Nongzhanguan
23,24,2013,3,1,23,6.0,17.0,17.0,41.0,500.0,57.0,-0.5,1032.8,-19.7,0.0,5.0,2.1,Nongzhanguan
24,25,2013,3,2,0,13.0,13.0,12.0,40.0,500.0,57.0,-0.7,1033.0,-18.3,0.0,1.0,0.6,Nongzhanguan
25,26,2013,3,2,1,3.0,9.0,13.0,39.0,500.0,56.0,-1.6,1033.2,-17.4,0.0,2.0,0.0,Nongzhanguan
26,27,2013,3,2,2,3.0,9.0,,38.0,400.0,52.0,-2.2,1032.9,-16.7,0.0,4.0,0.0,Nongzhanguan
27,28,2013,3,2,3,3.0,6.0,8.0,30.0,,89.0,-3.1,1032.6,-15.8,0.0,4.0,0.0,Nongzhanguan
28,29,2013,3,2,4,3.0,6.0,7.0,,400.0,59.0,-3.1,1032.7,-16.1,0.0,4.0,0.0,Nongzhanguan
29,30,2013,3,2,5,3.0,6.0,9.0,42.0,400.0,50.0,-2.4,1032.1,-18.1,0.0,6.0,0.8,Nongzhanguan
30,31,2013,3,2,6,3.0,6.0,16.0,57.0,500.0,35.0,-2.3,1031.3,-18.4,0.0,4.0,1.5,Nongzhanguan
31,32,2013,3,2,7,3.0,7.0,33.0,61.0,500.0,32.0,-1.9,1031.9,-18.5,0.0,4.0,1.4,Nongzhanguan
32,33,2013,3,2,8,3.0,6.0,28.0,50.0,500.0,43.0,-0.9,1031.7,-18.0,0.0,6.0,1.6,Nongzhanguan
33,34,2013,3,2,9,3.0,13.0,26.0,39.0,500.0,54.0,0.1,1031.7,-18.1,0.0,5.0,0.5,Nongzhanguan
34,35,2013,3,2,10,3.0,9.0,25.0,43.0,500.0,52.0,1.5,1031.2,-18.0,0.0,2.0,0.6,Nongzhanguan
35,36,2013,3,2,11,14.0,16.0,25.0,52.0,700.0,46.0,2.6,1030.2,-18.2,0.0,13.0,3.1,Nongzhanguan
36,37,2013,3,2,12,18.0,19.0,24.0,75.0,1000.0,30.0,3.8,1029.0,-17.8,0.0,12.0,1.1,Nongzhanguan
37,38,2013,3,2,13,26.0,37.0,29.0,72.0,1000.0,35.0,3.8,1027.6,-17.8,0.0,9.0,1.0,Nongzhanguan
38,39,2013,3,2,14,33.0,42.0,24.0,59.0,800.0,48.0,3.9,1026.8,-18.3,0.0,12.0,0.4,Nongzhanguan
39,40,2013,3,2,15,24.0,42.0,27.0,58.0,1000.0,50.0,4.3,1026.2,-18.0,0.0,12.0,1.5,Nongzhanguan
40,41,2013,3,2,16,42.0,52.0,50.0,67.0,1300.0,44.0,4.1,1025.4,-16.9,0.0,12.0,1.9,Nongzhanguan
41,42,2013,3,2,17,54.0,66.0,51.0,72.0,1200.0,38.0,3.2,1025.3,-16.0,0.0,16.0,1.3,Nongzhanguan
42,43,2013,3,2,18,63.0,69.0,50.0,75.0,1100.0,34.0,2.2,1025.4,-15.8,0.0,5.0,0.4,Nongzhanguan
43,44,2013,3,2,19,64.0,77.0,51.0,80.0,1200.0,28.0,1.6,1025.0,-15.4,0.0,4.0,0.1,Nongzhanguan
44,45,2013,3,2,20,65.0,82.0,54.0,98.0,1399.0,13.0,0.7,1025.0,-15.3,0.0,4.0,1.0,Nongzhanguan
45,46,2013,3,2,21,69.0,90.0,68.0,116.0,2200.0,6.0,0.5,1024.8,-15.1,0.0,4.0,0.2,Nongzhanguan
46,47,2013,3,2,22,83.0,109.0,73.0,118.0,2200.0,6.0,-1.0,1024.2,-14.6,0.0,2.0,0.0,Nongzhanguan
47,48,2013,3,2,23,92.0,114.0,78.0,108.0,2899.0,7.0,-1.3,1023.2,-14.5,0.0,4.0,0.0,Nongzhanguan
48,49,2013,3,3,0,122.0,142.0,86.0,106.0,3100.0,8.0,-2.2,1022.3,-12.8,0.0,4.0,0.0,Nongzhanguan
49,50,2013,3,3,1,134.0,152.0,72.0,108.0,3299.0,7.0,-1.8,1021.4,-13.3,0.0,14.0,0.7,Nongzhanguan
50,51,2013,3,3,2,145.0,162.0,76.0,109.0,2899.0,7.0,-2.4,1020.4,-13.3,0.0,1.0,1.3,Nongzhanguan
51,52,2013,3,3,3,139.0,145.0,88.0,111.0,2200.0,5.0,-3.3,1019.4,-12.5,0.0,3.0,1.2,Nongzhanguan
52,53,2013,3,3,4,87.0,111.0,84.0,107.0,2500.0,5.0,-4.2,1019.0,-12.6,0.0,1.0,0.1,Nongzhanguan
53,54,2013,3,3,5,90.0,109.0,77.0,102.0,3100.0,5.0,-5.2,1018.5,-11.6,0.0,5.0,0.9,Nongzhanguan
54,55,2013,3,3,6,118.0,122.0,83.0,106.0,3399.0,6.0,-5.4,1018.3,-11.3,0.0,2.0,0.0,Nongzhanguan
55,56,2013,3,3,7,118.0,122.0,74.0,103.0,3200.0,6.0,-3.3,1018.6,-9.8,0.0,4.0,0.1,Nongzhanguan
56,57,2013,3,3,8,122.0,137.0,88.0,105.0,3200.0,5.0,1.2,1018.1,-13.7,0.0,4.0,0.8,Nongzhanguan
57,58,2013,3,3,9,118.0,137.0,91.0,102.0,2600.0,6.0,4.0,1017.6,-13.4,0.0,10.0,0.6,Nongzhanguan
58,59,2013,3,3,10,108.0,118.0,102.0,105.0,2299.0,10.0,6.8,1016.7,-13.5,0.0,12.0,1.1,Nongzhanguan
59,60,2013,3,3,11,104.0,119.0,95.0,111.0,2200.0,14.0,9.5,1015.6,-13.7,0.0,14.0,0.5,Nongzhanguan
60,61,2013,3,3,12,106.0,126.0,91.0,132.0,2600.0,14.0,13.4,1014.4,-13.6,0.0,15.0,1.8,Nongzhanguan
61,62,2013,3,3,13,115.0,142.0,68.0,130.0,2399.0,19.0,15.5,1013.0,-13.8,0.0,8.0,4.0,Nongzhanguan
62,63,2013,3,3,14,102.0,128.0,28.0,66.0,1200.0,50.0,16.4,1012.4,-15.4,0.0,14.0,7.0,Nongzhanguan
63,64,2013,3,3,15,56.0,77.0,9.0,24.0,500.0,80.0,16.6,1012.0,-15.2,0.0,15.0,4.7,Nongzhanguan
64,65,2013,3,3,16,30.0,70.0,8.0,28.0,500.0,78.0,15.8,1012.2,-14.7,0.0,2.0,1.3,Nongzhanguan
65,66,2013,3,3,17,27.0,89.0,23.0,74.0,1000.0,56.0,12.6,1013.0,-13.4,0.0,12.0,1.3,Nongzhanguan
66,67,2013,3,3,18,63.0,126.0,37.0,106.0,1300.0,35.0,9.9,1014.1,-10.3,0.0,15.0,1.0,Nongzhanguan
67,68,2013,3,3,19,94.0,168.0,60.0,147.0,1899.0,10.0,6.8,1014.9,-9.6,0.0,14.0,0.0,Nongzhanguan
68,69,2013,3,3,20,130.0,215.0,58.0,151.0,2200.0,5.0,5.2,1015.2,-8.3,0.0,14.0,0.0,Nongzhanguan
69,70,2013,3,3,21,149.0,227.0,53.0,143.0,2399.0,5.0,4.0,1015.4,-9.1,0.0,4.0,0.2,Nongzhanguan
70,71,2013,3,3,22,134.0,170.0,42.0,132.0,2600.0,5.0,2.7,1015.8,-8.4,0.0,15.0,0.4,Nongzhanguan
71,72,2013,3,3,23,103.0,138.0,36.0,128.0,2799.0,5.0,7.1,1016.7,-12.2,0.0,4.0,0.4,Nongzhanguan
72,73,2013,3,4,0,88.0,119.0,38.0,119.0,2899.0,6.0,9.9,1017.5,-14.1,0.0,4.0,4.9,Nongzhanguan
73,74,2013,3,4,1,76.0,94.0,21.0,58.0,800.0,29.0,9.3,1018.4,-13.9,0.0,7.0,3.6,Nongzhanguan
74,75,2013,3,4,2,26.0,42.0,7.0,17.0,400.0,74.0,8.4,1018.7,-13.9,0.0,4.0,1.5,Nongzhanguan
75,76,2013,3,4,3,11.0,27.0,5.0,14.0,300.0,80.0,7.4,1018.6,-14.2,0.0,4.0,3.6,Nongzhanguan
76,77,2013,3,4,4,7.0,12.0,8.0,18.0,300.0,74.0,6.2,1019.6,-15.2,0.0,7.0,2.7,Nongzhanguan
77,78,2013,3,4,5,3.0,6.0,10.0,22.0,300.0,74.0,6.0,1020.1,-14.2,0.0,8.0,2.4,Nongzhanguan
78,79,2013,3,4,6,3.0,6.0,14.0,39.0,400.0,53.0,4.2,1020.8,-12.7,0.0,8.0,2.0,Nongzhanguan
79,80,2013,3,4,7,12.0,20.0,20.0,72.0,600.0,20.0,7.2,1021.5,-12.6,0.0,7.0,3.2,Nongzhanguan
80,81,2013,3,4,8,10.0,24.0,26.0,75.0,700.0,19.0,8.6,1022.3,-14.4,0.0,5.0,2.8,Nongzhanguan
81,82,2013,3,4,9,13.0,27.0,23.0,51.0,600.0,44.0,9.9,1022.6,-14.8,0.0,4.0,2.4,Nongzhanguan
82,83,2013,3,4,10,13.0,20.0,16.0,32.0,500.0,68.0,11.5,1022.3,-14.3,0.0,4.0,0.0,Nongzhanguan
83,84,2013,3,4,11,14.0,18.0,8.0,22.0,400.0,80.0,12.3,1022.0,-15.4,0.0,4.0,2.4,Nongzhanguan
84,85,2013,3,4,12,12.0,17.0,11.0,25.0,500.0,81.0,13.9,1020.6,-16.2,0.0,4.0,3.3,Nongzhanguan
85,86,2013,3,4,13,3.0,13.0,4.0,19.0,400.0,88.0,14.8,1019.5,-15.5,0.0,4.0,1.4,Nongzhanguan
86,87,2013,3,4,14,3.0,6.0,4.0,21.0,400.0,89.0,15.3,1018.6,-15.1,0.0,1.0,1.3,Nongzhanguan
87,88,2013,3,4,15,10.0,11.0,4.0,22.0,400.0,92.0,15.6,1018.1,-14.8,0.0,12.0,2.0,Nongzhanguan
88,89,2013,3,4,16,5.0,13.0,7.0,43.0,600.0,77.0,14.7,1017.5,-15.5,0.0,13.0,2.9,Nongzhanguan
89,90,2013,3,4,17,19.0,24.0,8.0,44.0,600.0,86.0,13.2,1017.8,-15.7,0.0,13.0,3.0,Nongzhanguan
90,91,2013,3,4,18,21.0,29.0,6.0,54.0,600.0,82.0,12.6,1018.3,-13.4,0.0,13.0,2.9,Nongzhanguan
91,92,2013,3,4,19,24.0,38.0,11.0,71.0,700.0,59.0,12.0,1018.5,-13.1,0.0,16.0,2.7,Nongzhanguan
92,93,2013,3,4,20,32.0,61.0,14.0,84.0,900.0,43.0,10.9,1018.8,-11.9,0.0,10.0,1.4,Nongzhanguan
93,94,2013,3,4,21,40.0,66.0,19.0,85.0,900.0,44.0,10.2,1018.8,-11.8,0.0,13.0,2.0,Nongzhanguan
94,95,2013,3,4,22,50.0,73.0,23.0,84.0,900.0,45.0,10.0,1018.5,-12.0,0.0,13.0,3.0,Nongzhanguan
95,96,2013,3,4,23,54.0,76.0,45.0,98.0,1100.0,92.0,9.4,1017.5,-11.3,0.0,12.0,2.7,Nongzhanguan
96,97,2013,3,5,0,69.0,87.0,54.0,66.0,1100.0,92.0,8.8,1017.0,-10.7,0.0,12.0,2.1,Nongzhanguan
97,98,2013,3,5,1,74.0,94.0,75.0,61.0,1100.0,92.0,7.8,1016.5,-10.6,0.0,11.0,1.3,Nongzhanguan
98,99,2013,3,5,2,87.0,112.0,74.0,63.0,1100.0,92.0,4.7,1016.1,-10.6,0.0,9.0,0.0,Nongzhanguan
99,100,2013,3,5,3,93.0,106.0,80.0,71.0,1300.0,92.0,4.5,1015.7,-9.3,0.0,4.0,0.0,Nongzhanguan
100,101,2013,3,5,4,99.0,110.0,88.0,82.0,1500.0,92.0,1.3,1015.7,-8.8,0.0,3.0,1.2,Nongzhanguan
101,102,2013,3,5,5,116.0,127.0,83.0,85.0,1700.0,92.0,0.4,1015.7,-9.6,0.0,2.0,0.8,Nongzhanguan
102,103,2013,3,5,6,121.0,128.0,67.0,103.0,2500.0,92.0,-0.2,1015.5,-8.4,0.0,2.0,1.0,Nongzhanguan
103,104,2013,3,5,7,116.0,131.0,61.0,103.0,3500.0,92.0,2.1,1015.4,-8.6,0.0,1.0,0.9,Nongzhanguan
104,105,2013,3,5,8,125.0,146.0,69.0,103.0,3799.0,92.0,5.0,1015.1,-8.9,0.0,1.0,1.0,Nongzhanguan
105,106,2013,3,5,9,140.0,167.0,86.0,118.0,4299.0,92.0,6.7,1014.5,-8.9,0.0,1.0,1.3,Nongzhanguan
106,107,2013,3,5,10,152.0,194.0,103.0,140.0,3799.0,92.0,9.1,1013.8,-8.5,0.0,1.0,0.9,Nongzhanguan
