,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
0,1,2013,3,1,0,6.0,6.0,4.0,8.0,300.0,81.0,-0.5,1024.5,-21.4,0.0,7.0,5.7,Tiantan
1,2,2013,3,1,1,6.0,29.0,5.0,9.0,300.0,80.0,-0.7,1025.1,-22.1,0.0,8.0,3.9,Tiantan
2,3,2013,3,1,2,6.0,6.0,4.0,12.0,300.0,75.0,-1.2,1025.3,-24.6,0.0,7.0,5.3,Tiantan
3,4,2013,3,1,3,6.0,6.0,4.0,12.0,300.0,74.0,-1.4,1026.2,-25.5,0.0,4.0,4.9,Tiantan
4,5,2013,3,1,4,5.0,5.0,7.0,15.0,400.0,70.0,-1.9,1027.1,-24.5,0.0,7.0,3.2,Tiantan
5,6,2013,3,1,5,10.0,10.0,12.0,15.0,400.0,70.0,-2.4,1027.5,-21.3,0.0,8.0,2.4,Tiantan
6,7,2013,3,1,6,8.0,19.0,12.0,14.0,400.0,72.0,-2.5,1028.2,-20.4,0.0,8.0,2.2,Tiantan
7,8,2013,3,1,7,7.0,7.0,12.0,19.0,400.0,67.0,-1.4,1029.5,-20.4,0.0,7.0,3.0,Tiantan
8,9,2013,3,1,8,3.0,6.0,14.0,29.0,500.0,56.0,-0.3,1030.4,-21.2,0.0,8.0,4.6,Tiantan
9,10,2013,3,1,9,8.0,2.0,11.0,22.0,500.0,65.0,0.4,1030.5,-23.3,0.0,4.0,5.5,Tiantan
10,11,2013,3,1,10,9.0,9.0,8.0,17.0,400.0,72.0,1.4,1030.2,-22.5,0.0,4.0,5.2,Tiantan
11,12,2013,3,1,11,9.0,23.0,8.0,16.0,400.0,75.0,2.9,1029.8,-22.9,0.0,7.0,5.3,Tiantan
12,13,2013,3,1,12,9.0,19.0,7.0,16.0,400.0,76.0,4.0,1028.6,-21.2,0.0,14.0,4.6,Tiantan
13,14,2013,3,1,13,10.0,34.0,7.0,12.0,400.0,81.0,5.0,1027.8,-21.2,0.0,8.0,4.5,Tiantan
14,15,2013,3,1,14,10.0,19.0,6.0,12.0,400.0,83.0,6.2,1027.6,-22.2,0.0,8.0,4.0,Tiantan
15,16,2013,3,1,15,3.0,6.0,6.0,15.0,400.0,81.0,6.0,1027.7,-21.3,0.0,7.0,2.1,Tiantan
16,17,2013,3,1,16,8.0,22.0,7.0,14.0,300.0,82.0,5.6,1027.7,-20.7,0.0,4.0,1.8,Tiantan
17,18,2013,3,1,17,10.0,28.0,9.0,21.0,400.0,75.0,4.4,1028.2,-20.9,0.0,4.0,3.5,Tiantan
18,19,2013,3,1,18,11.0,21.0,10.0,28.0,500.0,66.0,3.2,1029.4,-20.3,0.0,7.0,0.5,Tiantan
19,20,2013,3,1,19,12.0,4.0,7.0,39.0,600.0,53.0,3.0,1030.1,-19.7,0.0,4.0,1.1,Tiantan
20,21,2013,3,1,20,12.0,16.0,8.0,30.0,500.0,60.0,1.6,1031.3,-19.0,0.0,2.0,1.2,Tiantan
21,22,2013,3,1,21,12.0,17.0,13.0,43.0,700.0,44.0,0.8,1032.4,-19.7,0.0,5.0,1.0,Tiantan
22,23,2013,3,1,22,12.0,16.0,15.0,48.0,800.0,39.0,0.1,1032.9,-19.2,0.0,2.0,1.8,Tiantan
23,24,2013,3,1,23,15.0,17.0,17.0,52.0,800.0,37.0,-0.5,1032.8,-19.7,0.0,5.0,2.1,Tiantan
24,25,2013,3,2,0,16.0,17.0,10.0,33.0,500.0,56.0,-0.7,1033.0,-18.3,0.0,1.0,0.6,Tiantan
25,26,2013,3,2,1,3.0,10.0,10.0,27.0,500.0,60.0,-1.6,1033.2,-17.4,0.0,2.0,0.0,Tiantan
26,27,2013,3,2,2,4.0,8.0,,25.0,400.0,57.0,-2.2,1032.9,-16.7,0.0,4.0,0.0,Tiantan
27,28,2013,3,2,3,9.0,10.0,8.0,26.0,,83.0,-3.1,1032.6,-15.8,0.0,4.0,0.0,Tiantan
28,29,2013,3,2,4,3.0,8.0,7.0,,500.0,54.0,-3.1,1032.7,-16.1,0.0,4.0,0.0,Tiantan
29,30,2013,3,2,5,6.0,10.0,10.0,26.0,400.0,37.0,-2.4,1032.1,-18.1,0.0,6.0,0.8,Tiantan
30,31,2013,3,2,6,5.0,8.0,11.0,37.0,500.0,29.0,-2.3,1031.3,-18.4,0.0,4.0,1.5,Tiantan
31,32,2013,3,2,7,3.0,6.0,15.0,61.0,700.0,13.0,-1.9,1031.9,-18.5,0.0,4.0,1.4,Tiantan
32,33,2013,3,2,8,12.0,15.0,15.0,54.0,700.0,22.0,-0.9,1031.7,-18.0,0.0,6.0,1.6,Tiantan
33,34,2013,3,2,9,13.0,20.0,19.0,60.0,700.0,18.0,0.1,1031.7,-18.1,0.0,5.0,0.5,Tiantan
34,35,2013,3,2,10,18.0,23.0,22.0,60.0,700.0,20.0,1.5,1031.2,-18.0,0.0,2.0,0.6,Tiantan
35,36,2013,3,2,11,16.0,22.0,21.0,64.0,900.0,17.0,2.6,1030.2,-18.2,0.0,13.0,3.1,Tiantan
36,37,2013,3,2,12,26.0,34.0,26.0,58.0,900.0,27.0,3.8,1029.0,-17.8,0.0,12.0,1.1,Tiantan
37,38,2013,3,2,13,27.0,34.0,24.0,44.0,700.0,44.0,3.8,1027.6,-17.8,0.0,9.0,1.0,Tiantan
38,39,2013,3,2,14,35.0,40.0,24.0,35.0,800.0,53.0,3.9,1026.8,-18.3,0.0,12.0,0.4,Tiantan
39,40,2013,3,2,15,35.0,38.0,48.0,45.0,1200.0,48.0,4.3,1026.2,-18.0,0.0,12.0,1.5,Tiantan
40,41,2013,3,2,16,48.0,58.0,52.0,49.0,1100.0,43.0,4.1,1025.4,-16.9,0.0,12.0,1.9,Tiantan
41,42,2013,3,2,17,56.0,64.0,49.0,46.0,1000.0,47.0,3.2,1025.3,-16.0,0.0,16.0,1.3,Tiantan
42,43,2013,3,2,18,49.0,52.0,52.0,51.0,1100.0,39.0,2.2,1025.4,-15.8,0.0,5.0,0.4,Tiantan
43,44,2013,3,2,19,64.0,70.0,43.0,55.0,1100.0,26.0,1.6,1025.0,-15.4,0.0,4.0,0.1,Tiantan
44,45,2013,3,2,20,63.0,75.0,44.0,72.0,1300.0,10.0,0.7,1025.0,-15.3,0.0,4.0,1.0,Tiantan
45,46,2013,3,2,21,73.0,82.0,40.0,78.0,1600.0,4.0,0.5,1024.8,-15.1,0.0,4.0,0.2,Tiantan
46,47,2013,3,2,22,79.0,79.0,36.0,76.0,2000.0,6.0,-1.0,1024.2,-14.6,0.0,2.0,0.0,Tiantan
47,48,2013,3,2,23,98.0,106.0,39.0,79.0,2200.0,4.0,-1.3,1023.2,-14.5,0.0,4.0,0.0,Tiantan
48,49,2013,3,3,0,84.0,97.0,39.0,80.0,2299.0,4.0,-2.2,1022.3,-12.8,0.0,4.0,0.0,Tiantan
49,50,2013,3,3,1,85.0,93.0,54.0,83.0,2500.0,6.0,-1.8,1021.4,-13.3,0.0,14.0,0.7,Tiantan
50,51,2013,3,3,2,110.0,119.0,68.0,87.0,2200.0,6.0,-2.4,1020.4,-13.3,0.0,1.0,1.3,Tiantan
51,52,2013,3,3,3,112.0,119.0,89.0,86.0,2200.0,5.0,-3.3,1019.4,-12.5,0.0,3.0,1.2,Tiantan
52,53,2013,3,3,4,113.0,123.0,82.0,83.0,2200.0,4.0,-4.2,1019.0,-12.6,0.0,1.0,0.1,Tiantan
53,54,2013,3,3,5,84.0,104.0,37.0,72.0,2100.0,4.0,-5.2,1018.5,-11.6,0.0,5.0,0.9,Tiantan
54,55,2013,3,3,6,77.0,86.0,27.0,69.0,2200.0,4.0,-5.4,1018.3,-11.3,0.0,2.0,0.0,Tiantan
