,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
0,1,2013,3,1,0,8.0,8.0,6.0,28.0,400.0,52.0,-0.7,1023.0,-18.8,0.0,7.0,4.4,Wanliu
1,2,2013,3,1,1,9.0,9.0,6.0,28.0,400.0,50.0,-1.1,1023.2,-18.2,0.0,4.0,4.7,Wanliu
2,3,2013,3,1,2,3.0,6.0,,19.0,400.0,55.0,-1.1,1023.5,-18.2,0.0,7.0,5.6,Wanliu
3,4,2013,3,1,3,11.0,30.0,8.0,14.0,,,-1.4,1024.5,-19.4,0.0,8.0,3.1,Wanliu
4,5,2013,3,1,4,3.0,13.0,9.0,,300.0,54.0,-2.0,1025.2,-19.5,0.0,4.0,2.0,Wanliu
5,6,2013,3,1,5,3.0,6.0,8.0,17.0,300.0,54.0,-2.2,1025.6,-19.6,0.0,4.0,3.7,Wanliu
6,7,2013,3,1,6,3.0,3.0,10.0,21.0,300.0,52.0,-2.6,1026.5,-19.1,0.0,6.0,2.5,Wanliu
7,8,2013,3,1,7,3.0,6.0,11.0,26.0,300.0,47.0,-1.6,1027.4,-19.1,0.0,7.0,3.8,Wanliu
8,9,2013,3,1,8,7.0,10.0,14.0,39.0,400.0,36.0,0.1,1028.3,-19.2,0.0,7.0,4.1,Wanliu
9,10,2013,3,1,9,3.0,9.0,12.0,31.0,400.0,46.0,1.2,1028.5,-19.3,0.0,4.0,2.6,Wanliu
10,11,2013,3,1,10,3.0,8.0,12.0,30.0,400.0,49.0,1.9,1028.2,-19.4,0.0,7.0,3.6,Wanliu
11,12,2013,3,1,11,3.0,6.0,10.0,26.0,300.0,54.0,2.9,1028.2,-20.5,0.0,4.0,3.7,Wanliu
12,13,2013,3,1,12,6.0,9.0,11.0,22.0,300.0,57.0,3.9,1027.3,-19.7,0.0,7.0,5.1,Wanliu
13,14,2013,3,1,13,10.0,18.0,10.0,20.0,300.0,60.0,5.3,1026.2,-19.3,0.0,8.0,4.3,Wanliu
14,15,2013,3,1,14,10.0,15.0,10.0,22.0,300.0,60.0,6.0,1025.9,-19.6,0.0,8.0,4.4,Wanliu
15,16,2013,3,1,15,7.0,15.0,9.0,22.0,300.0,61.0,6.2,1025.7,-18.6,0.0,6.0,2.8,Wanliu
16,17,2013,3,1,16,12.0,22.0,10.0,25.0,300.0,59.0,5.9,1025.6,-18.1,0.0,7.0,3.9,Wanliu
17,18,2013,3,1,17,13.0,23.0,10.0,26.0,300.0,58.0,4.3,1026.3,-18.7,0.0,6.0,2.8,Wanliu
18,19,2013,3,1,18,11.0,25.0,12.0,32.0,400.0,49.0,3.1,1027.4,-18.4,0.0,6.0,2.1,Wanliu
19,20,2013,3,1,19,11.0,17.0,13.0,53.0,600.0,30.0,2.3,1028.3,-18.4,0.0,4.0,2.8,Wanliu
20,21,2013,3,1,20,9.0,19.0,14.0,55.0,500.0,28.0,1.7,1029.1,-17.3,0.0,4.0,2.1,Wanliu
21,22,2013,3,1,21,14.0,17.0,16.0,57.0,600.0,25.0,0.6,1030.1,-16.7,0.0,2.0,0.8,Wanliu
22,23,2013,3,1,22,15.0,20.0,17.0,71.0,700.0,8.0,0.9,1030.5,-17.4,0.0,2.0,1.8,Wanliu
