,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
0,1,2013,3,1,0,9.0,9.0,6.0,17.0,200.0,62.0,0.3,1021.9,-19.0,0.0,15.0,2.0,Wanshouxigong
1,2,2013,3,1,1,11.0,11.0,7.0,14.0,200.0,66.0,-0.1,1022.4,-19.3,0.0,15.0,4.4,Wanshouxigong
2,3,2013,3,1,2,8.0,8.0,,16.0,200.0,59.0,-0.6,1022.6,-19.7,0.0,15.0,4.7,Wanshouxigong
3,4,2013,3,1,3,8.0,8.0,3.0,16.0,,,-0.7,1023.5,-20.9,0.0,8.0,2.6,Wanshouxigong
4,5,2013,3,1,4,8.0,8.0,3.0,,300.0,36.0,-0.9,1024.1,-21.7,0.0,15.0,2.5,Wanshouxigong
5,6,2013,3,1,5,10.0,10.0,4.0,8.0,200.0,64.0,-1.6,1024.7,-21.1,0.0,5.0,2.0,Wanshouxigong
6,7,2013,3,1,6,8.0,8.0,6.0,13.0,300.0,61.0,-2.4,1025.4,-20.3,0.0,5.0,2.3,Wanshouxigong
7,8,2013,3,1,7,8.0,8.0,8.0,20.0,300.0,54.0,-0.8,1026.7,-19.9,0.0,6.0,2.0,Wanshouxigong
8,9,2013,3,1,8,3.0,6.0,9.0,23.0,300.0,50.0,0.4,1027.3,-19.4,0.0,5.0,2.7,Wanshouxigong
9,10,2013,3,1,9,3.0,6.0,10.0,18.0,300.0,56.0,1.5,1027.4,-19.7,0.0,2.0,2.9,Wanshouxigong
10,11,2013,3,1,10,3.0,6.0,11.0,15.0,300.0,61.0,2.1,1027.3,-21.2,0.0,6.0,4.8,Wanshouxigong
11,12,2013,3,1,11,3.0,6.0,9.0,14.0,300.0,62.0,3.1,1027.2,-21.1,0.0,4.0,4.1,Wanshouxigong
12,13,2013,3,1,12,3.0,6.0,8.0,10.0,300.0,67.0,4.7,1026.3,-20.6,0.0,3.0,1.6,Wanshouxigong
13,14,2013,3,1,13,3.0,9.0,7.0,9.0,300.0,70.0,5.5,1025.2,-20.0,0.0,5.0,3.1,Wanshouxigong
14,15,2013,3,1,14,3.0,14.0,7.0,8.0,300.0,72.0,6.6,1024.9,-19.9,0.0,8.0,2.1,Wanshouxigong
15,16,2013,3,1,15,12.0,14.0,5.0,7.0,200.0,73.0,6.1,1024.7,-19.5,0.0,5.0,2.4,Wanshouxigong
16,17,2013,3,1,16,11.0,17.0,7.0,9.0,300.0,72.0,5.9,1024.7,-18.8,0.0,4.0,3.3,Wanshouxigong
17,18,2013,3,1,17,13.0,18.0,8.0,14.0,300.0,67.0,5.3,1025.3,-19.3,0.0,7.0,2.0,Wanshouxigong
18,19,2013,3,1,18,10.0,18.0,9.0,20.0,400.0,58.0,4.1,1026.4,-19.5,0.0,6.0,2.2,Wanshouxigong
19,20,2013,3,1,19,10.0,16.0,7.0,29.0,500.0,50.0,3.2,1027.2,-18.9,0.0,5.0,2.1,Wanshouxigong
20,21,2013,3,1,20,11.0,12.0,6.0,29.0,500.0,47.0,2.6,1028.2,-18.8,0.0,5.0,1.9,Wanshouxigong
21,22,2013,3,1,21,10.0,12.0,6.0,31.0,500.0,44.0,2.2,1029.2,-17.9,0.0,2.0,1.1,Wanshouxigong
22,23,2013,3,1,22,10.0,13.0,11.0,39.0,500.0,34.0,2.0,1029.5,-18.1,0.0,2.0,2.0,Wanshouxigong
23,24,2013,3,1,23,15.0,15.0,14.0,41.0,500.0,31.0,1.0,1029.6,-18.4,0.0,2.0,1.8,Wanshouxigong
24,25,2013,3,2,0,5.0,10.0,11.0,35.0,400.0,39.0,0.5,1030.2,-18.3,0.0,2.0,1.4,Wanshouxigong
25,26,2013,3,2,1,3.0,8.0,9.0,33.0,400.0,40.0,-0.3,1030.2,-17.5,0.0,1.0,1.0,Wanshouxigong
26,27,2013,3,2,2,3.0,6.0,9.0,29.0,300.0,44.0,-1.2,1029.6,-17.0,0.0,1.0,0.8,Wanshouxigong
27,28,2013,3,2,3,3.0,6.0,9.0,29.0,400.0,43.0,-2.9,1029.7,-14.9,0.0,4.0,0.1,Wanshouxigong
28,29,2013,3,2,4,3.0,6.0,8.0,30.0,400.0,41.0,-2.4,1029.8,-15.5,0.0,4.0,0.2,Wanshouxigong
29,30,2013,3,2,5,8.0,8.0,6.0,15.0,300.0,57.0,-1.2,1029.2,-17.9,0.0,6.0,1.0,Wanshouxigong
30,31,2013,3,2,6,8.0,8.0,10.0,31.0,400.0,37.0,-1.2,1028.5,-17.9,0.0,15.0,1.5,Wanshouxigong
31,32,2013,3,2,7,3.0,6.0,16.0,61.0,600.0,8.0,-1.1,1029.2,-16.1,0.0,16.0,1.2,Wanshouxigong
32,33,2013,3,2,8,4.0,7.0,17.0,53.0,500.0,17.0,0.0,1028.8,-16.8,0.0,14.0,1.3,Wanshouxigong
33,34,2013,3,2,9,4.0,11.0,17.0,50.0,500.0,23.0,1.1,1028.9,-16.8,0.0,13.0,1.0,Wanshouxigong
34,35,2013,3,2,10,5.0,14.0,22.0,52.0,600.0,20.0,1.9,1028.4,-17.1,0.0,13.0,2.0,Wanshouxigong
35,36,2013,3,2,11,13.0,18.0,20.0,61.0,1000.0,15.0,2.5,1027.5,-17.7,0.0,13.0,2.1,Wanshouxigong
36,37,2013,3,2,12,17.0,25.0,19.0,47.0,700.0,29.0,3.3,1026.2,-17.6,0.0,12.0,1.8,Wanshouxigong
37,38,2013,3,2,13,24.0,28.0,18.0,35.0,600.0,43.0,4.2,1024.8,-16.8,0.0,10.0,1.0,Wanshouxigong
