,name,locationStatus,timestamp,rssiOne,rssiTwo
2,FF:FF:C0:21:EF:1A,INSIDE,1551367495114,-88,-88
6,FF:FF:C0:21:EF:1A,INSIDE,1551367496026,-96,-96
10,FF:FF:C0:21:EF:1A,INSIDE,1551367497274,-94,-94
14,FF:FF:C0:21:EF:1A,INSIDE,1551367498154,-93,-93
18,FF:FF:C0:21:EF:1A,INSIDE,1551367499017,-95,-95
22,FF:FF:C0:21:EF:1A,INSIDE,1551367500066,-90,-90
26,FF:FF:C0:21:EF:1A,INSIDE,1551367501008,-93,-93
30,FF:FF:C0:21:EF:1A,INSIDE,1551367502021,-91,-91
34,FF:FF:C0:21:EF:1A,INSIDE,1551367503675,-96,-96
38,FF:FF:C0:21:EF:1A,INSIDE,1551367504757,-91,-91
42,FF:FF:C0:21:EF:1A,INSIDE,1551367505184,-94,-94
46,FF:FF:C0:21:EF:1A,INSIDE,1551367507127,-96,-96
50,FF:FF:C0:21:EF:1A,INSIDE,1551367507127,-96,-96
54,FF:FF:C0:21:EF:1A,INSIDE,1551367508059,-96,-96
58,FF:FF:C0:21:EF:1A,INSIDE,1551367509487,-94,-94
62,FF:FF:C0:21:EF:1A,INSIDE,1551367510275,-94,-94
66,FF:FF:C0:21:EF:1A,INSIDE,1551367512468,-93,-93
70,FF:FF:C0:21:EF:1A,INSIDE,1551367512468,-93,-93
74,FF:FF:C0:21:EF:1A,INSIDE,1551367513064,-93,-93
78,FF:FF:C0:21:EF:1A,INSIDE,1551367514661,-96,-96
82,FF:FF:C0:21:EF:1A,INSIDE,1551367515881,-89,-89
85,FF:FF:C0:21:EF:1A,INSIDE,1551367517007,-91,-91
88,FF:FF:C0:21:EF:1A,INSIDE,1551367517007,-91,-91
90,FF:FF:C0:21:EF:1A,INSIDE,1551367518156,-92,-92
93,FF:FF:C0:21:EF:1A,INSIDE,1551367519036,-87,-87
96,FF:FF:C0:21:EF:1A,INSIDE,1551367520146,-93,-93
100,FF:FF:C0:21:EF:1A,INSIDE,1551367521209,-88,-88
104,FF:FF:C0:21:EF:1A,INSIDE,1551367522286,-97,-97
108,FF:FF:C0:21:EF:1A,INSIDE,1551367523570,-94,-94
112,FF:FF:C0:21:EF:1A,INSIDE,1551367526143,-105,-105
116,FF:FF:C0:21:EF:1A,INSIDE,1551367526143,-105,-105
120,FF:FF:C0:21:EF:1A,INSIDE,1551367526143,-105,-105
124,FF:FF:C0:21:EF:1A,INSIDE,1551367528457,-94,-94
128,FF:FF:C0:21:EF:1A,INSIDE,1551367528457,-94,-94
132,FF:FF:C0:21:EF:1A,INSIDE,1551367532919,-89,-89
136,FF:FF:C0:21:EF:1A,INSIDE,1551367532919,-89,-89
140,FF:FF:C0:21:EF:1A,INSIDE,1551367532919,-89,-89
