dataset,n_classes,features,sample_rate,noise_rate,epochs,batch_size,restore_best,model,data_length_time,n_h_block,n_train_h_block,n_valid_h_block,n_test_h_block,h_moving_step,segments_times,segments_overlaps,decision_times,decision_overlaps,inner_classifier,datetime,running_time,n_params,Core_mse_loss_mean,Core_mse_loss_std,Core_f1_mean,Core_f1_std,MS_mse_loss_mean,MS_mse_loss_std,MS_f1_mean,MS_f1_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MULTI_CNN,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,MULTI_CNN,2022:03:26 22:14:22,858 seconds,6330333,0.040980464,0.008282554,0.65563222,0.061742167,0.021641452,0.006982525,0.782289311,0.090439651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MULTI_CNN,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,MULTI_CNN,2022:03:26 22:37:37,816 seconds,6330333,0.040600816,0.009411465,0.661524059,0.064768479,0.021371146,0.007932982,0.789606038,0.11299313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MULTI_CNN,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,MULTI_CNN,2022:03:27 02:10:06,821 seconds,6330333,0.04198782,0.009580713,0.647891139,0.053739579,0.022814068,0.008084382,0.758569463,0.113709874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,CNN_L,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,CNN_L,2022:03:27 02:16:21,375 seconds,2120061,0.033667024,0.009804099,0.700960632,0.075113038,0.019114201,0.008731096,0.826976233,0.109238388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MLP,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,MLP,2022:03:27 02:17:43,82 seconds,407565,0.053781267,0.00643465,0.523625201,0.036118102,0.035516667,0.005418045,0.612713935,0.073142201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,KNN,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,KNN,2022:03:27 02:17:59,15 seconds,-1,0.068696508,0.008435011,0.428642556,0.04195166,0.043279687,0.008699907,0.562505502,0.069300281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,LR,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,LR,2022:03:27 03:28:22,20 seconds,-1,0.110187158,0.004027404,0.231730571,0.017506418,0.063106421,0.003699987,0.232176513,0.057253258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,RF,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,RF,2022:03:27 03:31:01,30 seconds,-1,0.068540003,0.005441873,0.155077441,0.023341829,0.06205985,0.004486507,0.262919302,0.053314647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,SVM,-1,10,5,2,3,1,00:00:04,0.75,00:00:24,0,SVM,2022:03:27 03:38:09,56 seconds,-1,0.119173794,0.004073307,0.187115528,0.022674523,0.064465069,0.004117477,0.204326706,0.069082399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MULTI_CNN,-1,10,5,2,3,1,00:00:24,0.75,00:00:24,0,MULTI_CNN,2022:03:27 04:06:26,701 seconds,37787613,0.072115078,0.007771384,0.389152616,0.054942027,0.072115078,0.007771384,0.389152616,0.054942027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,CNN_L,-1,10,5,2,3,1,00:00:24,0.75,00:00:24,0,CNN_L,2022:03:27 04:10:58,272 seconds,12605821,0.059164166,0.009183099,0.425528271,0.061402949,0.059164166,0.009183099,0.425528271,0.061402949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,MLP,-1,10,5,2,3,1,00:00:24,0.75,00:00:24,0,MLP,2022:03:27 04:11:37,38 seconds,2373645,0.084517226,0.009324233,0.272108864,0.055766826,0.084517226,0.009324233,0.272108864,0.055766826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,KNN,-1,10,5,2,3,1,00:00:24,0.75,00:00:24,0,KNN,2022:03:27 04:11:39,2 seconds,-1,0.102145134,0.00789313,0.132288884,0.013693323,0.102145134,0.00789313,0.132288884,0.013693323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,LR,-1,10,5,2,3,1,00:00:24,0.75,00:00:24,0,LR,2022:03:27 04:43:44,22 seconds,-1,0.112116647,0.009481714,0.19576438,0.051974353,0.112116647,0.009481714,0.19576438,0.051974353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,RF,-1,10,5,2,3,1,00:00:24,0.75,00:00:24,0,RF,2022:03:27 04:43:54,10 seconds,-1,0.073319929,0.002864977,0.086444999,0.014301569,0.073319929,0.002864977,0.086444999,0.014301569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/User_Identification_From_Walking/,13,"[' x acceleration', ' y acceleration', ' z acceleration']",32,100,20,32,1,SVM,-1,10,5,2,3,1,00:00:24,0.75,00:00:24,0,SVM,2022:03:27 04:44:11,16 seconds,-1,0.119490538,0.007072548,0.167563151,0.038146704,0.119490538,0.007072548,0.167563151,0.038146704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,51,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,LR,-1,15,9,2,4,1,00:00:24,0.75,00:00:24,0,LR,2022:03:27 17:06:44,7369 seconds,-1,0.030311729,0.001659883,0.128854995,0.018369967,0.030311729,0.001659883,0.128854995,0.018369967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,51,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,LR,-1,15,9,2,4,1,00:00:04,0.75,00:00:24,0,LR,2022:03:27 19:26:50,8274 seconds,-1,0.030182591,0.001173907,0.126036985,0.014509542,0.027232342,0.000541104,0.124625189,0.015993721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,51,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,KNN,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,KNN,2022:03:28 01:11:52,12355 seconds,-1,0.024312055,0.001898593,0.308226908,0.054355776,0.013768712,0.001194421,0.392486905,0.073375348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,KNN,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,KNN,2022:03:28 03:01:26,2303 seconds,-1,0.086213751,0.010960871,0.557192977,0.056808879,0.053151808,0.00695933,0.611527291,0.065202643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,LR,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,LR,2022:03:28 03:17:01,934 seconds,-1,0.098724396,0.010413948,0.468228258,0.043755717,0.07298194,0.008335475,0.475635166,0.055291826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,RF,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,RF,2022:03:28 03:55:13,2292 seconds,-1,0.074930347,0.008621224,0.553972287,0.028704475,0.049257547,0.006042086,0.651846905,0.04946659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,SVM,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,SVM,2022:03:28 04:54:44,3571 seconds,-1,0.103929347,0.009694136,0.416664905,0.036061812,0.080024583,0.007474913,0.41697457,0.033897779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,MULTI_CNN,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,MULTI_CNN,2022:03:28 10:11:10,18584 seconds,3967962,0.056612109,0.007928416,0.668844843,0.044337273,0.036505453,0.006604458,0.75363708,0.065847386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/WISDM/,10,"['X-accel', 'Y-accel', 'Z-accel']",20,100,20,32,1,CNN_L,-1,15,9,2,4,1,00:00:04,0.75,00:05:00,0,CNN_L,2022:03:28 16:25:20,8091 seconds,1330554,0.0573388,0.009642327,0.654733309,0.054601898,0.038099288,0.007373464,0.73554014,0.074335022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
